recommender,similarity,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Accum_2,Temporal-5-3-4,Accum_3,Temporal-5-4-5,Accum_4,accum_sum
Dominance,JaroSimilarity,10,2,1.1718416257763925E-4,4.1357497787780086E-4,9.44334118333241E-4,1.0917165038903156E-5,9.770856134499505E-4,3.907360926904828E-5,0.0011333800505261436,5.807499147633915E-4
Dominance,JaroSimilarity,10,5,3.2808413507306707E-4,5.336914174957534E-4,0.001395466970064574,2.6736192676685414E-5,0.00147567554809463,1.4350550634922534E-4,0.0020496975734915317,0.0010320172515947313
Dominance,JaroSimilarity,10,7,4.036958998985082E-4,6.603893434006096E-4,0.0017244745866997276,4.1602109196234634E-5,0.0018492809142884314,1.6816561129613832E-4,0.002521943359472985,0.0012738529637914909
Dominance,JaroSimilarity,10,10,5.463912451198026E-4,7.209413278768521E-4,0.001988273900873507,6.097031599833576E-5,0.002171184848868514,1.8819857155637183E-4,0.0029239791350940013,0.0015165014605513624
Dominance,JaroSimilarity,10,0,0.008280400300462162,0.0021692700733389673,0.012618940447140098,3.1489167390313325E-4,0.013563615468849499,7.29932089246677E-4,0.016483343825836206,0.01149449413695094
Dominance,JaroSimilarity,15,2,2.940584421460245E-4,1.9506302695690154E-4,6.841844960598276E-4,2.5165731419260045E-4,0.0014391564386376289,6.243039164654307E-5,0.0016888780052238012,8.032091749420694E-4
Dominance,JaroSimilarity,15,5,5.10825343630436E-4,3.176669892136232E-4,0.0011461593220576825,3.068949371598204E-4,0.0020668441335371436,1.1203462912010835E-4,0.002514982650017577,0.001247421899123988
Dominance,JaroSimilarity,15,7,5.875279046064134E-4,3.488678697145622E-4,0.0012852636440355378,3.306118403525034E-4,0.002277099165093048,1.3646481670015514E-4,0.002822958431893669,0.001403472431373634
Dominance,JaroSimilarity,15,10,7.173560467074815E-4,4.537728541462079E-4,0.0016249017549998972,3.558109804421678E-4,0.0026923346963264004,1.6498020498999957E-4,0.0033522555162863988,0.0016919200862858567
Dominance,JaroSimilarity,15,0,0.0064524031781325,0.0017615053403728545,0.009975413858878209,6.427935434585628E-4,0.011903794489253897,4.0550528516416525E-4,0.013525815629910558,0.009262207347128081
Dominance,JaroSimilarity,20,2,7.442111167695899E-5,2.4000058084929415E-4,5.544222733755473E-4,1.4061282854093478E-4,9.762607589983516E-4,6.964752339605E-5,0.0012548508525825517,5.246820444632379E-4
Dominance,JaroSimilarity,20,5,2.538781098504609E-4,2.470882109396092E-4,7.480545317296793E-4,2.2600855404526074E-4,0.0014260801938654616,9.564262353236275E-5,0.0018086506879949125,8.226174983676936E-4
Dominance,JaroSimilarity,20,7,3.161839353673904E-4,2.499149200012815E-4,8.160137753699533E-4,2.512743229235298E-4,0.0015698367441405426,1.0731579551174754E-4,0.0019990999261875328,9.246889738039493E-4
Dominance,JaroSimilarity,20,10,3.9425200487827865E-4,2.6299770272685365E-4,9.20247410331986E-4,2.722737529565701E-4,0.0017370686692016963,1.2721772373087276E-4,0.0022459395641251873,0.001056741184292575
Dominance,JaroSimilarity,20,0,0.007345914802800226,5.486358282868488E-4,0.008443186459373923,6.696338344495899E-4,0.010452087962722692,4.069372621642998E-4,0.012079837011379891,0.008971121727700966
Dominance,JaroSimilarity,25,2,1.1678694294655605E-4,5.362221921494717E-5,2.2403138137645038E-4,6.27922499677047E-6,2.4286905636676178E-4,7.359602213598996E-5,5.372531449107216E-4,2.5028440929426366E-4
Dominance,JaroSimilarity,25,5,3.7737738449600326E-4,8.628940614239742E-5,5.499561967807981E-4,5.989504083624808E-5,7.296413192895423E-4,1.2697169593544754E-4,0.0012375281030313325,6.505335274100963E-4
Dominance,JaroSimilarity,25,7,4.741606857939079E-4,8.919717844672144E-5,6.525550426873508E-4,7.29575378103257E-5,8.71427656118328E-4,1.431996995685273E-4,0.0014442264543924371,7.795151016194823E-4
Dominance,JaroSimilarity,25,10,5.75256915993126E-4,9.918165622590254E-5,7.736202284449311E-4,1.163077671462094E-4,0.0011225435298835593,1.856512104095515E-4,0.0018651483715217652,9.763975497747894E-4
Dominance,JaroSimilarity,25,0,0.007579116074679303,2.4118873449803448E-4,0.008061493543675372,4.4923554325656514E-4,0.009409200173445067,5.2008784128058E-4,0.011489551538567387,0.008789628193714484
Dominance,JaroSimilarity,30,2,2.598369305199395E-4,2.9306069406320033E-5,3.1844906933257955E-4,2.9163519087086667E-5,4.0593962659383955E-4,5.977133680127488E-5,6.450249737989391E-4,3.7807785581462104E-4
Dominance,JaroSimilarity,30,5,3.9692168322517425E-4,4.7441341276831856E-5,4.91804365778838E-4,7.833495816526157E-5,7.268092402746227E-4,9.152912146069209E-5,0.001092925726117391,6.142271041279598E-4
Dominance,JaroSimilarity,30,7,4.831256344130024E-4,5.6031382682461856E-5,5.951883997779261E-4,8.97831232417052E-5,8.645377695030417E-4,1.0214121286070203E-4,0.0012731026209458498,7.310813531978715E-4
Dominance,JaroSimilarity,30,10,5.79421829783734E-4,7.464985915481597E-5,7.287215480933659E-4,1.033397952228313E-4,0.0010387409337618597,1.1774829189071418E-4,0.0015097341013247164,8.751597760520954E-4
Dominance,JaroSimilarity,30,0,0.007015951429377992,2.4127836771315391E-4,0.0074985081648043,3.19285482598819E-4,0.008456364612600756,4.083210083096863E-4,0.010089648645839501,0.00798483628799965
Dominance,JaroSimilarity,40,2,0.0018253172363686633,9.141732461014067E-5,0.0020081518855889447,1.423176061909166E-5,0.00205084716744622,2.896764882657639E-5,0.0021667177627525255,0.001959933970424472
