method,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance_JaroSimilarity,10,2,0.0052893123025973925,1.9149751053236308E-4,0.0,0.0,0.005480809813129756
Dominance_JaroSimilarity,10,5,0.011477811687591244,0.00171071109408911,0.0019243174140643074,0.0,0.01511284019574466
Dominance_JaroSimilarity,10,7,0.012847225381728184,0.0017794537901776506,0.002217974277407826,0.0,0.01684465344931366
Dominance_JaroSimilarity,10,10,0.013846610375578123,0.002196974462729851,0.0038228554101717755,2.153247860136326E-4,0.020081765034493382
Dominance_JaroSimilarity,10,SizeOfTestSet,0.005016422446833164,5.068437518296683E-4,0.0023754328101861983,1.0894118679079785E-4,0.008007640195639827
Dominance_JaroSimilarity,15,2,0.0034442938524128913,1.9149751053236308E-4,1.57082637397598E-4,0.0,0.0037928740003428524
Dominance_JaroSimilarity,15,5,0.0053277501869762375,0.00171071109408911,2.14045747482589E-4,0.0,0.007252507028547937
Dominance_JaroSimilarity,15,7,0.0053646505559799265,0.00171071109408911,0.0018007653980274172,0.0,0.008876127048096453
Dominance_JaroSimilarity,15,10,0.006287159781072178,0.0021485107012985654,0.0023809354463988548,2.153247860136326E-4,0.01103193071478323
Dominance_JaroSimilarity,15,SizeOfTestSet,0.004004224824856944,7.053491637942041E-4,3.468153210211315E-4,1.5973114054423592E-4,0.005216120450216515
Dominance_JaroSimilarity,20,2,0.0,8.378016085790885E-5,1.57082637397598E-4,0.0,2.4086279825550686E-4
Dominance_JaroSimilarity,20,5,1.6885131537882543E-4,3.238840221815962E-4,2.0480394496142528E-4,0.0,6.975392825218469E-4
Dominance_JaroSimilarity,20,7,7.83857465440326E-4,3.238840221815962E-4,0.0017344092559254617,0.0,0.002842150743547384
Dominance_JaroSimilarity,20,10,0.0018009830213112693,0.002088607234625988,0.0022882668995982142,1.814895635470449E-4,0.006359346719082517
Dominance_JaroSimilarity,20,SizeOfTestSet,1.6731380000367167E-4,1.0120062622752893E-4,7.073753237253438E-4,0.0,9.758897499565444E-4
Dominance_JaroSimilarity,25,2,0.0,8.378016085790885E-5,4.772130756382724E-5,0.0,1.315014684217361E-4
Dominance_JaroSimilarity,25,5,1.6885131537882543E-4,3.238840221815962E-4,0.0026723932235743256,0.0,0.0031651285611347473
Dominance_JaroSimilarity,25,7,7.83857465440326E-4,3.238840221815962E-4,0.002819041559199039,0.0,0.003926783046820962
Dominance_JaroSimilarity,25,10,0.0018009830213112693,0.002088607234625988,0.002819041559199039,7.873146079322506E-5,0.006787363275929522
