recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,JaroSimilarity,30,2,0.002635225627059259,4.3788282800746276E-5,3.1072424440729943E-4,0.004144286626370889,0.008866165870479243,0.006693194212985917,0.006454596751680716,0.006785145304711101
Dominance,JaroSimilarity,30,5,0.0069724781023067835,0.004686422589656543,0.009691481886564867,0.007364641907569044,0.04078387212600071,0.028073446671096,0.026195041492911436,0.03888154208362753
Dominance,JaroSimilarity,30,7,0.013086598561899684,0.014890504222309604,0.010943283437201298,0.00750147825130194,0.04387854281944986,0.05210708228951581,0.0629550759985716,0.0786951550944168
Dominance,JaroSimilarity,30,10,0.015935908139871537,0.015608652060500643,0.015907890235528844,0.010546265501688223,0.06361100893430324,0.06132130035499527,0.07790813475797399,0.10005813953538131
Dominance,JaroSimilarity,30,0,0.009246258024553346,6.509390166197508E-4,0.009945537957262713,0.007088244117159267,0.017358295372509512,0.03073876340142774,0.04838030902875072,0.017942386209368225
Dominance,JaroSimilarity,40,2,0.0019840211893447086,0.0034638735877125966,0.004237351705539585,0.003042355990855973,0.019907830049376702,0.027150509112828493,0.030235932994812788,0.029169093318607977
Dominance,JaroSimilarity,40,5,0.0056549792973809585,0.005183946888912307,0.004552764012153111,0.007908638049820978,0.0374413320379039,0.08264974547852759,0.044316872155421745,0.050173591949436463
Dominance,JaroSimilarity,40,7,0.006479393065800972,0.005275875552269542,0.0059360360921405925,0.012518395320793591,0.05253205523454131,0.09283184380514346,0.07365768184166482,0.06506823972544745
Dominance,JaroSimilarity,40,10,0.011840652688486476,0.00581366205156675,0.00807228165147648,0.014206952924949886,0.05813140930647762,0.10581282434050511,0.10863674480274049,0.07933710482110445
Dominance,JaroSimilarity,40,0,0.0065204609709558345,0.004550165980069914,0.004948925728424594,0.007399860148443094,0.02957523683184959,0.03260637020561011,0.06385621203836966,0.047371901890692535
Dominance,JaroSimilarity,50,2,0.0024081562702159475,2.4470219742573287E-5,0.0031457832183640166,0.002768434170834747,0.0035944602553937095,1.1309289706351003E-4,0.02178348726546004,0.015068427628778684
Dominance,JaroSimilarity,50,5,0.002639115162592162,6.698151342187716E-4,0.0036809179543697977,0.010840742531303762,0.020077760553180328,0.014382737021402869,0.03703860480380175,0.022963264090926538
Dominance,JaroSimilarity,50,7,0.007391110179418429,6.698151342187716E-4,0.0200660883262439,0.02431742252139514,0.02411546545090167,0.024568826387804714,0.06920047876520097,0.0557797374557277
