recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,JaroSimilarity,10,2,0.0017516651473344386,4.0887834803532907E-4,0.005480809813129756,0.0034791629205882125,6.661868622333232E-4,0.01007593376976494,0.017554564597925003,0.01171566360493421
Dominance,JaroSimilarity,10,5,0.0020507707194165163,0.004435058557604703,0.01511284019574466,0.0051983301180622225,0.01933934275004314,0.012336914129097931,0.020457102374926064,0.024834317236342655
Dominance,JaroSimilarity,10,7,0.002215898226712648,0.013191741412305131,0.01684465344931366,0.006581858665046478,0.02933549243364391,0.022898371172636354,0.0255380143715526,0.02894817670111529
Dominance,JaroSimilarity,10,10,0.0024740555328324806,0.013443536574814579,0.020081765034493382,0.011578301768369971,0.0353699167127911,0.029263259386748182,0.029767472240314508,0.03494166324978522
Dominance,JaroSimilarity,10,0,0.0024303999923262873,0.006587870164828677,0.00733696504547413,0.004912002161997059,0.012859314281492838,0.011260853550012039,0.01847126573091467,0.018806629439784308
Dominance,JaroSimilarity,15,2,0.0021088080044772955,0.0012942950147019957,0.0037928740003428524,0.001956433032372345,0.001001322971760945,0.005090139874388152,0.017937789508191485,0.0029565121715492844
Dominance,JaroSimilarity,15,5,0.002418335393511488,0.01790422397560357,0.007252507028547937,0.0021248400722527617,0.022647334851877688,0.02310544248351757,0.01987673991943348,0.011780996614559381
Dominance,JaroSimilarity,15,7,0.003154448638106279,0.024260804883160392,0.008876127048096453,0.006039316338999098,0.032977944781554865,0.030961395731348096,0.025905676078756126,0.015596258604870074
Dominance,JaroSimilarity,15,10,0.003171783301110233,0.025331006154494372,0.01103193071478323,0.01164367023518985,0.03963693084229355,0.03787600701815858,0.031852397763361,0.02259049925934784
Dominance,JaroSimilarity,15,0,0.0021885126089813017,0.010098162888060614,0.006012220751797116,0.002597343176400655,0.012474532546610434,0.00803521154826892,0.015135291195654715,0.011368780935728002
Dominance,JaroSimilarity,20,2,0.0021088080044772955,2.1894141400373138E-5,2.4086279825550686E-4,0.00203067884557466,0.0022251957920115433,0.003482607166284807,0.006030789495070388,0.002536686809284948
Dominance,JaroSimilarity,20,5,0.0023657975774981545,5.467805636676855E-4,6.975392825218469E-4,0.0023077342991882363,0.024830046013639084,0.009908796116974577,0.00801292099276349,0.010712932086977827
Dominance,JaroSimilarity,20,7,0.0029425457998047667,5.823761972699636E-4,0.002842150743547384,0.003137398231563568,0.026062065678748938,0.011308485025752936,0.01301466775963204,0.012255047045761275
Dominance,JaroSimilarity,20,10,0.0062088908574884066,9.320212907703169E-4,0.006359346719082517,0.008412382301226266,0.03119052249610275,0.014844197675273266,0.01750171562919609,0.016823759959875194
Dominance,JaroSimilarity,20,0,0.0055897629831972145,5.993564666822729E-4,0.0014812866425835982,0.0049288523134104895,0.014915213525902244,0.002706222367524121,0.006478307581623371,0.011388390275307874
Dominance,JaroSimilarity,25,2,0.0021335604797248203,2.1894141400373138E-5,1.315014684217361E-4,0.0010706174016422484,0.0019399855817949399,0.003508404053835358,0.004676466093278095,0.0029890712332010477
Dominance,JaroSimilarity,25,5,0.002423657282358282,5.529761202145301E-4,0.0031651285611347473,0.002678477174553955,0.020420257039216443,0.007232350956879179,0.00770534116414141,0.010965406213470379
