recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,LCS-Ponderado,10,2,0.0076246719160105,0.0092477088634965,0.00793030897947408,0.0227087979958401,0.0266258065320188,0.0406454511668719,0.0304032391380631,0.0483015989558225,0.193487583547597
Dominance,LCS-Ponderado,10,5,0.012749343832021,0.030995417726993,0.0298127074907968,0.0486741476490545,0.0730803548785911,0.0798543805964273,0.0798921186764045,0.135086093622041,0.490144564472329
Dominance,LCS-Ponderado,10,7,0.0258727034120735,0.0343967782712107,0.0437085037912029,0.0749190497892832,0.0997408506007682,0.104421566972402,0.127865588106174,0.163899968071969,0.674825009015084
Dominance,LCS-Ponderado,10,10,0.038497375328084,0.0564208476789249,0.067958267303805,0.0926015374006937,0.140546862601926,0.147838939674535,0.156361735894219,0.231548795527426,0.931774361409613
Dominance,LCS-Ponderado,10,0,0.0233727034120735,0.0363095238095238,0.0404767874888537,0.0433466520194526,0.0864613711917724,0.0883786576916747,0.123047901940038,0.122075160353685,0.563468757907074
Dominance,LCS-Ponderado,15,2,0.0051246719160105,0.00897134831927881,0.0195506548593172,0.0173751233073267,0.0249889387562301,0.016050609605139,0.0161109066639627,0.0548104308304385,0.162982684257703
Dominance,LCS-Ponderado,15,5,0.0178740157480315,0.0293590327328976,0.0529051914383241,0.0361156673349128,0.0648676352873727,0.0539750224917003,0.0909777173846723,0.129313314809125,0.475387597227037
Dominance,LCS-Ponderado,15,7,0.0231233595800525,0.0366939960580809,0.0665999740554416,0.0526120903376234,0.0970833526412713,0.0696448850337113,0.132596915187503,0.157556179768541,0.635910752662224
Dominance,LCS-Ponderado,15,10,0.035997375328084,0.0626721470984482,0.0858014074193113,0.0877637185729039,0.124964461012325,0.113366794724491,0.198585650762563,0.198974254290477,0.908125809208603
Dominance,LCS-Ponderado,15,0,0.0546194225721785,0.0514035809922991,0.11394968028589,0.0341238830987899,0.066981795305907,0.0593549454961839,0.107378858206531,0.113546220597633,0.601358386555412
Dominance,LCS-Ponderado,20,2,0.0076246719160105,0.00897134831927881,0.0143013110272962,0.0121267874138295,0.025099447332485,0.0254036683412418,0.0240077098524411,0.0344073920691644,0.151942336271747
