recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,50,0,"0,00259096701912","0,001449045276974","0,005658354997096","0,022151208061681","0,0095922347571","0,015613054330071","0,032894858670468","0,025707408642354","0,115657131754864"
Dominance,JaroSimilarity,5,2,"0,001222460446058","9,87E-04","0,002049523704716","0,006412610630339","0,012610454055528","0,015429463526274","0,011018203457366","0,04285797695897","0,09258756855069"
Dominance,JaroSimilarity,5,5,"0,003718564696604","0,006419341997249","0,00392176687414","0,013840951794634","0,032030510494722","0,028080975287519","0,036017825897958","0,081148564207186","0,205178501250012"
Dominance,JaroSimilarity,5,7,"0,010609574752583","0,007438086903525","0,00526465352472","0,025874843610764","0,037469585507579","0,03532741776781","0,058151926219208","0,091762051768447","0,271898140054635"
Dominance,JaroSimilarity,5,10,"0,013346955292599","0,013791910144799","0,006757579544163","0,030504835241303","0,042748523571806","0,056817412408953","0,093975039478006","0,175090893419699","0,433033149101327"
Dominance,JaroSimilarity,5,0,"0,004669698807275","0,002528558767096","0,005517462005425","0,012608271156314","0,019095263996537","0,030496221146244","0,019059490301855","0,065875069948696","0,159850036129442"
Dominance,JaroSimilarity,60,2,"0,006888334608644","1,24E-04","2,93E-05","0,004674734433306","0,004656141812919","0,007936500257662","0,010143626060278","0,021227558224236","0,05567971759475"
Dominance,JaroSimilarity,60,5,"0,008242665317306","5,85E-04","7,02E-04","0,01415801045631","0,016689666673033","0,012601939707698","0,030016791365981","0,028965703761203","0,111961597970892"
Dominance,JaroSimilarity,60,7,"0,008951473247415","0,001285310478499","7,84E-04","0,022684733711213","0,025911963190639","0,027306628854378","0,053902849558703","0,030893703368086","0,171720241780277"
Dominance,JaroSimilarity,60,10,"0,009614352035294","0,001794986033269","0,001932535900076","0,02896759031811","0,034700395702313","0,040962205978852","0,108151251646808","0,037279043420715","0,263402361035436"
