recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,20,2,0.025997375328084,0.0097799511002445,0.0211099617909692,0.0432429031390212,0.0806096079497051,0.0173405458849478,0.110096187376632,0.0513836784333679,0.359560211002971
Dominance,JaroSimilarity,20,5,0.067742782152231,0.0275748777506112,0.0536277936717008,0.144937818393259,0.238782100847583,0.0977767272341603,0.292517286694671,0.320597845980244,1.24355723272446
Dominance,JaroSimilarity,20,7,0.104488188976378,0.0479830410159174,0.0888138935641958,0.228002117559253,0.364096267705479,0.19043015564284,0.36295180333553,0.46421994023867,1.85098540803826
Dominance,JaroSimilarity,20,10,0.127985564304462,0.0764061798313457,0.214274304651196,0.3553287284154,0.626568637616385,0.380117283980559,0.504840154706931,0.68842758367818,2.97394843718446
Dominance,JaroSimilarity,20,0,0.122736220472441,0.064861253180979,0.122764496472443,0.122944275213275,0.297324990378627,0.48956990441408,0.626753774740569,0.689295420654653,2.53625033552707
Dominance,JaroSimilarity,25,2,0.028497375328084,0.0097799511002445,0.0132359460429377,0.0432429031390212,0.092832500424445,0.0544341456526422,0.121019003005441,0.0741109511606406,0.437152775853456
Dominance,JaroSimilarity,25,5,0.051994750656168,0.0377789593832643,0.0536277936717008,0.127715292422783,0.225911547819081,0.120942750400183,0.225534302618085,0.299575800798535,1.1430811977698
Dominance,JaroSimilarity,25,7,0.057244094488189,0.0377789593832643,0.0730658620681328,0.186225884558307,0.288338168510601,0.178789865336102,0.331074304296413,0.46506132482744,1.61757846346845
Dominance,JaroSimilarity,25,10,0.077992125984252,0.0662020981986927,0.12766013142285,0.281332558294156,0.461265174263907,0.318466942845345,0.424125567288411,0.768794168581296,2.52583876687891
Dominance,JaroSimilarity,25,0,0.06249343832021,0.0382030899156729,0.117712678963397,0.189121097438627,0.325572706241718,0.271013048591447,0.413414182819289,0.458133482957087,1.87566372524745
Dominance,JaroSimilarity,30,2,0.028497375328084,0.0097799511002445,0.0132359460429377,0.0930142240967829,0.119877425196642,0.0394954435100806,0.0845448388717024,0.119565496615186,0.508010700761661
Dominance,JaroSimilarity,30,5,0.040997375328084,0.129615694077142,0.0847561983409615,0.126365782325323,0.34189793334903,0.286643103548488,0.414237457116615,0.496248937664653,1.9207624817503
Dominance,JaroSimilarity,30,7,0.056496062992126,0.139819775709795,0.112068282485425,0.130334036293577,0.409330911319634,0.36765624165043,0.490970874432803,0.6887227967943,2.39539898167809
Dominance,JaroSimilarity,30,10,0.082244094488189,0.15803883289257,0.151098349505512,0.188041865187847,0.54156687385686,0.487338606565714,0.676689911073428,0.95633951432159,3.24135804789171
Dominance,JaroSimilarity,30,0,0.046246719160105,0.0710044408961629,0.10301631529015,0.270777306486853,0.269192711817013,0.458465962903321,0.459343649410296,0.582471367399919,2.26051847336382
Dominance,JaroSimilarity,40,2,0.018248031496063,0.0306122448979592,0.0420360944205057,0.0605240091298046,0.122480714818921,0.138124826965536,0.176531611459612,0.141970954048402,0.730528487236803
Dominance,JaroSimilarity,40,5,0.043996062992126,0.0887993675465296,0.0793942680460554,0.138605593259919,0.279656216330264,0.418610218214047,0.326103355658753,0.419797529372076,1.79496261141977
Dominance,JaroSimilarity,40,7,0.059245406824147,0.0990034491791827,0.12912054905316,0.195714286440522,0.318444726595721,0.459342063098143,0.434215995492368,0.51300982684585,2.20809630352909
Dominance,JaroSimilarity,40,10,0.082244094488189,0.120347506361958,0.163628877836929,0.231902477529075,0.486056716335132,0.608146099713311,0.697540704861241,0.680680217042948,3.07054669416878
Dominance,JaroSimilarity,40,0,0.098989501312336,0.111396636894367,0.102176123231562,0.18380952453576,0.293556451290282,0.37458139483178,0.463595677668442,0.574157852788259,2.20226316255279
Dominance,JaroSimilarity,50,2,0.033746719160105,0.0102040816326531,0.044548179873631,0.0412880661650481,0.0327755837979855,0.0252270116299199,0.233710234429522,0.146478604057448,0.567978480746312
