method,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance_JaroSimilarity,5,10,0.0016514925199690317,0.0015186359063930643,1.6218851772680756E-4,4.222058089789773E-4,0.0037545227530678808
Dominance_JaroSimilarity,5,SizeOfTestSet,0.05473306397869104,0.016336668746663393,0.006717978265691445,0.009382187252056128,0.087169898243102
Dominance_JaroSimilarity,60,2,0.0018969144538868987,1.272509279367881E-4,4.521539231070937E-5,1.0694894735840931E-4,0.0021763297214928055
Dominance_JaroSimilarity,60,5,0.002084881777909567,1.5928646120618904E-4,1.2922223994729138E-4,2.9768984434290144E-4,0.0026710803234059484
Dominance_JaroSimilarity,60,7,0.002292313007763818,2.1751816999986007E-4,1.9164711933061768E-4,4.2399936485159196E-4,0.0031254776619458876
Dominance_JaroSimilarity,60,10,0.005098981434772137,3.54122424165228E-4,2.9974021217032086E-4,6.018093268256429E-4,0.0063546533979333296
Dominance_JaroSimilarity,60,SizeOfTestSet,0.046425717646211034,0.007073867062279059,0.005214480952313764,0.00904328514037892,0.06775735080118278
Dominance_JaroSimilarity,8,2,3.5746583273811887E-4,5.390735451353421E-4,1.2584271364534966E-4,0.0011422081665438061,0.0021645902580626165
Dominance_JaroSimilarity,8,5,0.0011789761975777894,7.550806723775615E-4,3.1643632049639675E-4,0.0014615590917249257,0.003712052282176673
Dominance_JaroSimilarity,8,7,0.0016249924369478148,8.257012439577354E-4,3.720092660522949E-4,0.0014859493689830352,0.00430865231594088
Dominance_JaroSimilarity,8,10,0.002408544906654166,0.0013719772273638915,4.305602297747204E-4,0.001605035626864155,0.005816117990656932
Dominance_JaroSimilarity,8,SizeOfTestSet,0.04878121895757947,0.019555385667264703,0.006618034770383188,0.010882971421391566,0.08583761081661892
Dominance_LCS-Ponderado,10,2,0.001040026461543667,8.264954771448489E-4,6.793173395783135E-4,0.0018104348118898853,0.004356274090156715
Dominance_LCS-Ponderado,10,5,0.001673867126012895,0.0013953450913748412,0.001986832536194753,0.0021976684334410654,0.007253713187023555
Dominance_LCS-Ponderado,10,7,0.0020320297253210305,0.0017018343185459996,0.002489984147402183,0.0025865683249660532,0.008810416516235266
Dominance_LCS-Ponderado,10,10,0.0025000941134055116,0.0021212058693451928,0.002841350156045919,0.002783828045423989,0.010246478184220613
Dominance_LCS-Ponderado,10,SizeOfTestSet,0.04081274968111527,0.019190536563376926,0.01401287556305564,0.015435917587295829,0.08945207939484366
Dominance_LCS-Ponderado,15,2,5.604520298161744E-4,6.712133960967746E-4,7.134825101689742E-4,0.00234640607743509,0.004291554013517013
Dominance_LCS-Ponderado,15,5,0.0018275074924605662,0.0014053518221661,0.0012931881666629862,0.0027224522219143677,0.00724849970320402
Dominance_LCS-Ponderado,15,7,0.0020739383213939336,0.0015743894159358698,0.001645734903311986,0.0029977490503176087,0.008291811690959397
Dominance_LCS-Ponderado,15,10,0.002777694473227775,0.002155789976514768,0.001973945853247787,0.003286203407698736,0.010193633710689065
Dominance_LCS-Ponderado,15,SizeOfTestSet,0.043768948572173685,0.014649485764391046,0.011485976398046651,0.013627999113385959,0.08353240984799734
Dominance_LCS-Ponderado,20,2,8.914919445234096E-4,9.600164565440009E-4,4.82390108819508E-4,0.0023755426191207456,0.004709441129007664
Dominance_LCS-Ponderado,20,5,0.0015949819165943311,0.001620372450489646,0.0010115011507964918,0.0029372654735312044,0.007164120991411674
Dominance_LCS-Ponderado,20,7,0.0022734081958515253,0.0019327865202237698,0.0014454569541972335,0.003200158859569968,0.008851810529842498
Dominance_LCS-Ponderado,20,10,0.0025498929637148065,0.0022884321008291506,0.0016381519199680093,0.003576750079953108,0.010053227064465075
Dominance_LCS-Ponderado,20,SizeOfTestSet,0.03910041791894788,0.015490813401934863,0.01159324466230281,0.012993896656585197,0.07917837263977075
Dominance_LCS-Ponderado,25,2,8.114564913956216E-4,7.599664839624667E-4,4.1221569003202534E-4,0.0024045259748977045,0.004388164640287818
Dominance_LCS-Ponderado,25,5,0.001954149478134985,0.0015482400949308485,0.0011797378279534874,0.002779259692561476,0.007461387093580797
Dominance_LCS-Ponderado,25,7,0.0022806977887801848,0.002050067417697609,0.0014905486987156003,0.00307342960380226,0.008894743508995655
Dominance_LCS-Ponderado,25,10,0.002924441305162846,0.002591969191805228,0.00216152666679845,0.003319601192922497,0.010997538356689021
Dominance_LCS-Ponderado,25,SizeOfTestSet,0.04280027046334937,0.01504133519247421,0.010923202039003045,0.012673577427424572,0.0814383851222512
Dominance_LCS-Ponderado,30,2,0.0014193702897926876,8.905168603391291E-4,3.808413658799975E-4,0.002387767003091677,0.005078495519103492
Dominance_LCS-Ponderado,30,5,0.0020678613210152637,0.0015927258063649123,7.338111838763486E-4,0.0026923724161057945,0.007086770727362319
Dominance_LCS-Ponderado,30,7,0.0024598032763818575,0.0020985781383029275,9.578792480644383E-4,0.003132511041660463,0.008648771704409686
Dominance_LCS-Ponderado,30,10,0.0029450997789720475,0.0025764469224065687,0.0012209623791893725,0.003387232922980349,0.010129742003548338
Dominance_LCS-Ponderado,30,SizeOfTestSet,0.04294458468222938,0.015769525647477314,0.009666997587033339,0.011915296960159708,0.08029640487689974
Dominance_LCS-Ponderado,40,2,0.0014717960077868628,5.242856414060103E-4,4.6667177825432306E-4,0.0025116464044985867,0.004974399831945783
Dominance_LCS-Ponderado,40,5,0.001946597076131924,0.001686023931097087,7.725081452663389E-4,0.002809496883608353,0.0072146260361037025
Dominance_LCS-Ponderado,40,7,0.002170530920317956,0.0021352649795785485,0.0012803141659560474,0.003099284603179978,0.00868539466903253
Dominance_LCS-Ponderado,40,10,0.002875993501023735,0.0027080362378767067,0.0019281284704614106,0.003294815945374833,0.010806974154736686
Dominance_LCS-Ponderado,40,SizeOfTestSet,0.04109064484710193,0.014239706105857885,0.010251171824343966,0.011204576016419469,0.07678609879372325
Dominance_LCS-Ponderado,50,2,0.0015780615782982393,3.635148738510699E-4,3.606059888160372E-4,0.0027165728611972984,0.005018755302162645
Dominance_LCS-Ponderado,50,5,0.002363173757759889,7.189455079342048E-4,5.66516011476544E-4,0.003055478940277061,0.006704114217447699
Dominance_LCS-Ponderado,50,7,0.002639366723836427,9.224709448798189E-4,8.240205106312753E-4,0.0033572285247967333,0.007743086704144255
Dominance_LCS-Ponderado,50,10,0.0031651558432342916,0.001120189707466793,0.0011137874944197798,0.0036534461671815055,0.00905257921230237
Dominance_LCS-Ponderado,50,SizeOfTestSet,0.04192540128269403,0.012236537386705786,0.008536893539373007,0.0113623880681519,0.07406122027692472
Dominance_LCS-Ponderado,5,2,8.669594702363559E-4,0.0013882105032089296,3.996379178971209E-4,0.0012190760204313807,0.0038738839117737865
Dominance_LCS-Ponderado,5,5,0.0019298639059225145,0.0018153174191516094,0.0012646790899964319,0.0016416369602819982,0.006651497375352554
Dominance_LCS-Ponderado,5,7,0.0022667933630859524,0.0020761650451320596,0.0015040918247694122,0.002024164169720381,0.007871214402707806
Dominance_LCS-Ponderado,5,10,0.0025887171257850785,0.002505200595784597,0.0017213748931282757,0.0022739779316098573,0.009089270546307808
Dominance_LCS-Ponderado,5,SizeOfTestSet,0.05214898186935399,0.024421523284112776,0.016744847776674898,0.020636557212515276,0.11395191014265693
Dominance_LCS-Ponderado,60,2,0.0018089988528638811,4.890100253525446E-4,4.1756318829408093E-4,0.0030123967848130584,0.005727968851323565
Dominance_LCS-Ponderado,60,5,0.0023479454495544294,8.632836650975596E-4,6.708565054115984E-4,0.0032187688610503945,0.007100854481113982
Dominance_LCS-Ponderado,60,7,0.0026795131948940043,0.001172512385152496,8.561577089130086E-4,0.0034573022441944695,0.008165485533153978
Dominance_LCS-Ponderado,60,10,0.0032500941057878605,0.0016510753138778951,0.0012933066046543487,0.003929658133368487,0.010124134157688591
Dominance_LCS-Ponderado,60,SizeOfTestSet,0.04542071210075115,0.01105620455245461,0.008458980588420671,0.010824518961487188,0.07576041620311362
Dominance_LCS-Ponderado,8,2,9.574992514731007E-4,0.001062588913501821,5.441009361631321E-4,0.001449945842796108,0.004014134943934162
Dominance_LCS-Ponderado,8,5,0.0019483086675986722,0.0015757567404448146,9.92468724966005E-4,0.00193420765039527,0.0064507417834047615
Dominance_LCS-Ponderado,8,7,0.0022740183700667377,0.001796832266322722,0.001470787462535438,0.002300162239124393,0.007841800338049291
Dominance_LCS-Ponderado,8,10,0.002603713307928419,0.0020291539183209485,0.001775666019732394,0.0026931936727364373,0.009101726918718198
Dominance_LCS-Ponderado,8,SizeOfTestSet,0.044055404461660945,0.020306752058045077,0.013661397112991485,0.01656276517914011,0.09458631881183761
Dominance_LCS-Puro,10,2,0.001294465595258779,6.227307748558026E-4,2.9335031457522714E-4,0.0019407644125098722,0.004151311097199681
Dominance_LCS-Puro,10,5,0.0016442971797894106,9.466893276435446E-4,7.558595110958951E-4,0.002848482046340941,0.006195328064869791
Dominance_LCS-Puro,10,7,0.0022392945745727294,0.0011282110999171224,8.561584116060945E-4,0.00318393323656843,0.007407597322664376
Dominance_LCS-Puro,10,10,0.0028590275168392403,0.0012050205188052587,0.0010753719393094662,0.0036610710791559935,0.00880049105410996
Dominance_LCS-Puro,10,SizeOfTestSet,0.0537147968896263,0.018219072025654193,0.011543942889228276,0.01655487459792833,0.1000326864024371
Dominance_LCS-Puro,15,2,0.001231650741204063,4.623457091894669E-4,4.21688448243709E-4,0.0019952041525376023,0.004110889051174842
Dominance_LCS-Puro,15,5,0.0019286064235390578,0.0010877180584481596,8.065362561495964E-4,0.002849769695283056,0.00667263043341987
Dominance_LCS-Puro,15,7,0.00217929142066927,0.0011596488632067293,0.0010260119701350622,0.0030161377912036173,0.007381090045214679
Dominance_LCS-Puro,15,10,0.0026458466625407517,0.0013917811834568054,0.001249817917725879,0.003279498636897981,0.008566944400621418
Dominance_LCS-Puro,15,SizeOfTestSet,0.04633967214663143,0.015186663171691143,0.011221983116902734,0.014804596597309863,0.08755291503253516
Dominance_LCS-Puro,20,2,0.00106814900633139,3.703543048406587E-4,4.311335805024564E-4,0.0020390047545724064,0.003908641646246912
Dominance_LCS-Puro,20,5,0.001614132086213459,7.980067704048163E-4,6.064465615842796E-4,0.003203731479526754,0.006222316897729309
