Participante,RAW ou Ondas,Filtro,Original ou Estatístico,Num Linhas,Passo,Método ML,qtde_treino_1,qtde_treino_2,qtde_treino_4,qtde_treino_6,qtde_treino_8,qtde_treino_10,qtde_treino_12,qtde_treino_14
P9,RAWSEMAUX,FFT10,org,125,62,CART,0.34051724137931,0.336206896551724,0.376623376623377,0.336219336219336,0.344877344877345,0.330459770114943,0.35632183908046,0.336219336219336
P9,RAWSEMAUX,FFT10,org,125,62,CNNARTIGO,0.333333333333333,0.333333333333333,0.333333333333333,0.0245310245310245,0.101010101010101,0.0,0.0229885057471264,0.012987012987013
P9,RAWSEMAUX,FFT10,org,125,62,CNNMINDBRUSH,0.382183908045977,0.360632183908046,0.339105339105339,0.262626262626263,0.0,0.0,0.0,0.0
P9,RAWSEMAUX,FFT10,org,125,62,CNNOUTRA,0.0,0.307471264367816,0.350649350649351,0.265512265512266,0.0,0.0,0.0,0.275613275613276
P9,RAWSEMAUX,FFT10,org,125,62,KNC-3,0.390804597701149,0.304597701149425,0.265512265512266,0.334776334776335,0.274170274170274,0.317528735632184,0.376436781609195,0.370851370851371
P9,RAWSEMAUX,FFT10,org,125,62,LDA,0.34051724137931,0.316091954022988,0.297258297258297,0.341991341991342,0.347763347763348,0.352011494252873,0.311781609195402,0.311688311688312
P9,RAWSEMAUX,FFT10,org,125,62,LR,0.324712643678161,0.418103448275862,0.393939393939394,0.295815295815296,0.357864357864358,0.262931034482759,0.304597701149425,0.316017316017316
P9,RAWSEMAUX,FFT10,org,125,62,LSTM,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P9,RAWSEMAUX,FFT10,org,125,62,MLP,0.235632183908046,0.370689655172414,0.372294372294372,0.337662337662338,0.346320346320346,0.387931034482759,0.339080459770115,0.333333333333333
P9,RAWSEMAUX,FFT10,org,125,62,SVC,0.327586206896552,0.360632183908046,0.373737373737374,0.313131313131313,0.340548340548341,0.291666666666667,0.288793103448276,0.324675324675325
P9,RAWSEMAUX,FFT10,org,125,62,SVM,0.288793103448276,0.333333333333333,0.341991341991342,0.298701298701299,0.334776334776335,0.30316091954023,0.270114942528736,0.334776334776335
P9,RAWSEMAUX,FFT10,org,125,62,XGB,0.343390804597701,0.316091954022988,0.417027417027417,0.317460317460317,0.385281385281385,0.40948275862069,0.448275862068966,0.367965367965368
P9,RAWSEMAUX,FFT10,org,125,125,CART,0.304093567251462,0.380116959064327,0.394736842105263,0.353801169590643,0.309941520467836,0.374269005847953,0.377581120943953,0.315634218289086
P9,RAWSEMAUX,FFT10,org,125,125,CNNARTIGO,0.309941520467836,0.307017543859649,0.321637426900585,0.333333333333333,0.333333333333333,0.292397660818713,0.306784660766962,0.330383480825959
P9,RAWSEMAUX,FFT10,org,125,125,CNNMINDBRUSH,0.383040935672515,0.286549707602339,0.353801169590643,0.0,0.0,0.0,0.165191740412979,0.0
P9,RAWSEMAUX,FFT10,org,125,125,CNNOUTRA,0.274853801169591,0.289473684210526,0.321637426900585,0.192982456140351,0.347953216374269,0.192982456140351,0.0,0.0
P9,RAWSEMAUX,FFT10,org,125,125,KNC-3,0.391812865497076,0.304093567251462,0.312865497076023,0.327485380116959,0.251461988304094,0.304093567251462,0.348082595870207,0.351032448377581
P9,RAWSEMAUX,FFT10,org,125,125,LDA,0.347953216374269,0.304093567251462,0.301169590643275,0.292397660818713,0.333333333333333,0.286549707602339,0.306784660766962,0.365781710914454
P9,RAWSEMAUX,FFT10,org,125,125,LR,0.312865497076023,0.41812865497076,0.374269005847953,0.289473684210526,0.350877192982456,0.274853801169591,0.297935103244838,0.312684365781711
P9,RAWSEMAUX,FFT10,org,125,125,LSTM,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P9,RAWSEMAUX,FFT10,org,125,125,MLP,0.318713450292398,0.333333333333333,0.380116959064327,0.339181286549708,0.350877192982456,0.374269005847953,0.31858407079646,0.392330383480826
P9,RAWSEMAUX,FFT10,org,125,125,SVC,0.327485380116959,0.359649122807018,0.371345029239766,0.295321637426901,0.333333333333333,0.324561403508772,0.309734513274336,0.31858407079646
P9,RAWSEMAUX,FFT10,org,125,125,SVM,0.391812865497076,0.350877192982456,0.33625730994152,0.33625730994152,0.339181286549708,0.286549707602339,0.294985250737463,0.342182890855457
P9,RAWSEMAUX,FFT10,org,125,125,XGB,0.383040935672515,0.342105263157895,0.380116959064327,0.312865497076023,0.350877192982456,0.365497076023392,0.463126843657817,0.359882005899705
P9,RAWSEMAUX,FFT10,org,250,125,CART,0.375375375375375,0.366366366366366,0.333333333333333,0.342342342342342,0.381381381381381,0.354354354354354,0.354545454545455,0.315151515151515
P9,RAWSEMAUX,FFT10,org,250,125,CNNARTIGO,0.333333333333333,0.333333333333333,0.333333333333333,0.0,0.0,0.0,0.0,0.0
P9,RAWSEMAUX,FFT10,org,250,125,CNNMINDBRUSH,0.0,0.366366366366366,0.342342342342342,0.321321321321321,0.0,0.0,0.0,0.0
P9,RAWSEMAUX,FFT10,org,250,125,CNNOUTRA,0.336336336336336,0.36036036036036,0.393393393393393,0.0,0.0,0.0,0.0,0.339393939393939
