Participante,RAW ou Ondas,Filtro,Original ou Estatístico,Num Linhas,Passo,Método ML,qtde_treino_1,qtde_treino_2,qtde_treino_4,qtde_treino_6,qtde_treino_8,qtde_treino_10,qtde_treino_12,qtde_treino_14
P2,RAWSEMAUX,FFT10,org,125,62,CART,0.352112676056338,0.317683881064163,0.314553990610329,0.34585289514867,0.331768388106416,0.30829420970266,0.367762128325509,0.303599374021909
P2,RAWSEMAUX,FFT10,org,125,62,CNNARTIGO,0.325508607198748,0.328638497652582,0.333333333333333,0.309859154929577,0.333333333333333,0.0985915492957746,0.333333333333333,0.00782472613458529
P2,RAWSEMAUX,FFT10,org,125,62,CNNMINDBRUSH,0.258215962441315,0.267605633802817,0.322378716744914,0.330203442879499,0.33489827856025,0.0,0.309859154929577,0.0
P2,RAWSEMAUX,FFT10,org,125,62,CNNOUTRA,0.306729264475743,0.0,0.0109546165884194,0.104851330203443,0.0,0.0,0.00312989045383412,0.0
P2,RAWSEMAUX,FFT10,org,125,62,KNC-3,0.347417840375587,0.280125195618153,0.291079812206573,0.364632237871674,0.309859154929577,0.344287949921753,0.339593114241002,0.289514866979656
P2,RAWSEMAUX,FFT10,org,125,62,LDA,0.344287949921753,0.316118935837246,0.312989045383412,0.356807511737089,0.323943661971831,0.331768388106416,0.33489827856025,0.330203442879499
P2,RAWSEMAUX,FFT10,org,125,62,LR,0.287949921752739,0.242566510172144,0.262910798122066,0.342723004694836,0.370892018779343,0.297339593114241,0.377151799687011,0.359937402190923
P2,RAWSEMAUX,FFT10,org,125,62,LSTM,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P2,RAWSEMAUX,FFT10,org,125,62,MLP,0.333333333333333,0.333333333333333,0.306729264475743,0.316118935837246,0.330203442879499,0.306729264475743,0.330203442879499,0.325508607198748
P2,RAWSEMAUX,FFT10,org,125,62,SVC,0.297339593114241,0.262910798122066,0.256651017214397,0.353677621283255,0.342723004694836,0.298904538341158,0.363067292644757,0.34585289514867
P2,RAWSEMAUX,FFT10,org,125,62,SVM,0.328638497652582,0.327073552425665,0.333333333333333,0.347417840375587,0.320813771517997,0.322378716744914,0.36150234741784,0.298904538341158
P2,RAWSEMAUX,FFT10,org,125,62,XGB,0.331768388106416,0.272300469483568,0.291079812206573,0.34585289514867,0.408450704225352,0.369327073552426,0.31924882629108,0.272300469483568
P2,RAWSEMAUX,FFT10,org,125,125,CART,0.326984126984127,0.269230769230769,0.300970873786408,0.333333333333333,0.397435897435897,0.361904761904762,0.346153846153846,0.317307692307692
P2,RAWSEMAUX,FFT10,org,125,125,CNNARTIGO,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P2,RAWSEMAUX,FFT10,org,125,125,CNNMINDBRUSH,0.298412698412698,0.269230769230769,0.288025889967638,0.272435897435897,0.243589743589744,0.0888888888888889,0.0,0.0
P2,RAWSEMAUX,FFT10,org,125,125,CNNOUTRA,0.282539682539682,0.269230769230769,0.0323624595469256,0.0,0.326923076923077,0.0,0.0,0.0
P2,RAWSEMAUX,FFT10,org,125,125,KNC-3,0.346031746031746,0.323717948717949,0.275080906148867,0.336538461538462,0.314102564102564,0.377777777777778,0.358974358974359,0.291666666666667
P2,RAWSEMAUX,FFT10,org,125,125,LDA,0.292063492063492,0.310897435897436,0.349514563106796,0.28525641025641,0.28525641025641,0.298412698412698,0.323717948717949,0.266025641025641
P2,RAWSEMAUX,FFT10,org,125,125,LR,0.301587301587302,0.201923076923077,0.229773462783171,0.362179487179487,0.326923076923077,0.301587301587302,0.407051282051282,0.352564102564103
P2,RAWSEMAUX,FFT10,org,125,125,LSTM,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P2,RAWSEMAUX,FFT10,org,125,125,MLP,0.336507936507936,0.333333333333333,0.310679611650485,0.333333333333333,0.333333333333333,0.317460317460317,0.355769230769231,0.320512820512821
P2,RAWSEMAUX,FFT10,org,125,125,SVC,0.314285714285714,0.227564102564103,0.239482200647249,0.33974358974359,0.342948717948718,0.320634920634921,0.33974358974359,0.307692307692308
P2,RAWSEMAUX,FFT10,org,125,125,SVM,0.323809523809524,0.323717948717949,0.333333333333333,0.333333333333333,0.378205128205128,0.317460317460317,0.352564102564103,0.310897435897436
P2,RAWSEMAUX,FFT10,org,125,125,XGB,0.311111111111111,0.240384615384615,0.262135922330097,0.365384615384615,0.368589743589744,0.33015873015873,0.349358974358974,0.288461538461538
P2,RAWSEMAUX,FFT10,org,250,125,CART,0.339869281045752,0.254125412541254,0.286666666666667,0.277227722772277,0.3003300330033,0.349673202614379,0.343234323432343,0.3003300330033
P2,RAWSEMAUX,FFT10,org,250,125,CNNARTIGO,0.333333333333333,0.0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P2,RAWSEMAUX,FFT10,org,250,125,CNNMINDBRUSH,0.0,0.0,0.27,0.0,0.297029702970297,0.0,0.363036303630363,0.0
P2,RAWSEMAUX,FFT10,org,250,125,CNNOUTRA,0.0,0.0,0.236666666666667,0.0,0.0,0.0,0.0,0.0
P2,RAWSEMAUX,FFT10,org,250,125,KNC-3,0.339869281045752,0.297029702970297,0.276666666666667,0.346534653465346,0.31023102310231,0.366013071895425,0.36963696369637,0.336633663366337
