Participante,RAW ou Ondas,Filtro,Original ou Estatístico,Num Linhas,Passo,Método ML,qtde_treino_1,qtde_treino_2,qtde_treino_4,qtde_treino_6,qtde_treino_8,qtde_treino_10,qtde_treino_12,qtde_treino_14
P1,RAWSEMAUX,FFT10,org,125,125,XGB,0.317549421202173,0.533358855177712,0.306732572647158,0.248564072093484,0.274544435043448,0.250775282923889,0.302890899949724,0.388567452647855
P1,RAWSEMAUX,FFT10,org,250,125,CART,0.244334827762544,0.466454302343873,0.366149569836206,0.363924963924964,0.290638290663945,0.326311212714298,0.32077406748666,0.311640588761045
P1,RAWSEMAUX,FFT10,org,250,125,CNNARTIGO,0.38704304643902,0.510475724991854,0.313667753288247,0.337127819386354,0.238261765708147,0.279151848120305,0.376302027475614,0.402054709908113
P1,RAWSEMAUX,FFT10,org,250,125,CNNMINDBRUSH,0.61490162127854,0.533333333333333,0.302479490852829,0.321535731730415,0.246744738747727,0.271353697083924,0.225436916087909,0.359989888010742
P1,RAWSEMAUX,FFT10,org,250,125,CNNOUTRA,0.353134529884039,0.665173895952231,0.350986472658762,0.256768813458311,0.159414567374766,0.256993094789705,0.283429495328809,0.37614194687548
P1,RAWSEMAUX,FFT10,org,250,125,KNC-3,0.378652375691379,0.422700071603207,0.361278335191379,0.381476456103322,0.393977659057795,0.254593997483714,0.295724020140742,0.325857883702968
P1,RAWSEMAUX,FFT10,org,250,125,LDA,0.397837761757619,0.399789859263543,0.25411143708572,0.238928758897615,0.297321036451471,0.297634604772572,0.33317248881177,0.342195218929766
P1,RAWSEMAUX,FFT10,org,250,125,LR,0.406104733268215,0.423569278980654,0.259800462386808,0.284780765331974,0.294254784616276,0.305167033999113,0.295646771313957,0.34714163365182
P1,RAWSEMAUX,FFT10,org,250,125,LSTM,0.300567905926067,0.275997774430376,0.315555555555555,0.305652054039151,0.214215891635246,0.195685396453069,0.266885604816639,0.239816463717893
P1,RAWSEMAUX,FFT10,org,250,125,MLP,0.375689662894441,0.406476931476932,0.250118503933419,0.265515187611674,0.277242315845257,0.283147298241638,0.298822123204249,0.362118653031838
P1,RAWSEMAUX,FFT10,org,250,125,SVC,0.405041671708338,0.403275329366005,0.260461824226738,0.305608501900572,0.29396004496573,0.303223170213461,0.298207299714608,0.353530849183023
P1,RAWSEMAUX,FFT10,org,250,125,SVM,0.166666666666667,0.166666666666667,0.175026455026455,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
P1,RAWSEMAUX,FFT10,org,250,125,XGB,0.347510213043626,0.61358024691358,0.339067976454546,0.230823623009535,0.238689061650784,0.229771064880783,0.290258741130429,0.360018563138377
P1,RAWSEMAUX,FFT10,org,250,250,CART,0.426698950766747,0.484420077195625,0.31886058461241,0.308190517688459,0.329285302191706,0.314045214045214,0.291829444745885,0.317223857919939
P1,RAWSEMAUX,FFT10,org,250,250,CNNARTIGO,0.253351182507809,0.364271514359583,0.32719241542771,0.297298124760811,0.253271692745377,0.242791367107534,0.214277724512624,0.393352462936394
P1,RAWSEMAUX,FFT10,org,250,250,CNNMINDBRUSH,0.533133533133533,0.553215106406596,0.39232049517332,0.358566168507689,0.271850349335136,0.261153898902114,0.373265945584468,0.24737161880283
P1,RAWSEMAUX,FFT10,org,250,250,CNNOUTRA,0.406000416695604,0.590010516327712,0.350014718869591,0.272873570742777,0.223619365672346,0.352721236442167,0.271276072970296,0.404520074039013
