Participante,RAW ou Ondas,Filtro,Original ou Estatístico,Num Linhas,Passo,Método ML,qtde_treino_1,qtde_treino_2,qtde_treino_4,qtde_treino_6,qtde_treino_8,qtde_treino_10,qtde_treino_12,qtde_treino_14
P3,RAWSEMAUX,FFT10,org,125,62,CART,0.300376503892427,0.33428674916341,0.344349028311252,0.372815936410406,0.298206804139682,0.35671098589002,0.340530944359251,0.384074463118581
P3,RAWSEMAUX,FFT10,org,125,62,CNNARTIGO,0.273516859601042,0.203760694630411,0.0,0.0,0.0,0.0,0.167058823529412,0.0350877192982456
P3,RAWSEMAUX,FFT10,org,125,62,CNNMINDBRUSH,0.280073911035026,0.362163836171387,0.0,0.0,0.0,0.0,0.372838592828717,0.0
P3,RAWSEMAUX,FFT10,org,125,62,CNNOUTRA,0.313725490196078,0.283582577573759,0.0,0.0,0.0,0.0,0.0332406138857752,0.0597088417897666
P3,RAWSEMAUX,FFT10,org,125,62,KNC-3,0.259400671063288,0.412781881634343,0.32770992820008,0.326046355424746,0.364345059633018,0.388823645273938,0.418253259938667,0.425616381051188
P3,RAWSEMAUX,FFT10,org,125,62,LDA,0.233448279067174,0.316661590860607,0.36886586883372,0.34197238071031,0.361506422416321,0.368303453381987,0.319213675625086,0.328274365782907
P3,RAWSEMAUX,FFT10,org,125,62,LR,0.221938361719384,0.287993411121956,0.334962367784352,0.265556314442406,0.339523728827157,0.327817811595756,0.362462666728184,0.377328379113565
P3,RAWSEMAUX,FFT10,org,125,62,LSTM,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
P3,RAWSEMAUX,FFT10,org,125,62,MLP,0.218162912547939,0.249389499389499,0.208752975645486,0.191452346517429,0.180458038109284,0.187111451359818,0.186262626262626,0.166666666666667
P3,RAWSEMAUX,FFT10,org,125,62,SVC,0.237369278160378,0.270820885304665,0.342125492884799,0.271672181105672,0.328419457451552,0.349763552787311,0.273205274984765,0.325315266429162
P3,RAWSEMAUX,FFT10,org,125,62,SVM,0.167058823529412,0.172472334235578,0.220492337437312,0.194688466724122,0.301769798828622,0.229805568630291,0.200099660531315,0.171367869494251
P3,RAWSEMAUX,FFT10,org,125,62,XGB,0.299913648658695,0.344895221782014,0.323598684163991,0.332696046035137,0.38710284743869,0.410354865924328,0.441496370416831,0.429670414846557
P3,RAWSEMAUX,FFT10,org,125,125,CART,0.292329106093412,0.373583213468052,0.357045989159092,0.309166636397758,0.353261099066755,0.319320657555952,0.355423664385929,0.394792829217984
P3,RAWSEMAUX,FFT10,org,125,125,CNNARTIGO,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.0,0.166666666666667,0.166666666666667
P3,RAWSEMAUX,FFT10,org,125,125,CNNMINDBRUSH,0.284618651926034,0.260200364298725,0.32175383383021,0.0,0.0,0.0,0.0,0.387707167032698
P3,RAWSEMAUX,FFT10,org,125,125,CNNOUTRA,0.306306306306306,0.396317947468843,0.29867165424509,0.11472591838034,0.0,0.0,0.0,0.0
P3,RAWSEMAUX,FFT10,org,125,125,KNC-3,0.261805042292847,0.418717192630236,0.334030372011261,0.307728598708553,0.333169473465175,0.356186554718997,0.385001897789621,0.400301148127235
P3,RAWSEMAUX,FFT10,org,125,125,LDA,0.236304436304436,0.371636044885927,0.367439340825682,0.31231785383971,0.347169135928097,0.343104560162041,0.355989875894859,0.382513535607429
P3,RAWSEMAUX,FFT10,org,125,125,LR,0.200801787008684,0.314297924297924,0.328307640072346,0.292932646379443,0.33859591658478,0.311024841530997,0.377585086599001,0.393578141040828
P3,RAWSEMAUX,FFT10,org,125,125,LSTM,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
P3,RAWSEMAUX,FFT10,org,125,125,MLP,0.187797279841957,0.166666666666667,0.166666666666667,0.192086054552439,0.191859062022363,0.173482438080978,0.265098662068776,0.224033882952028
P3,RAWSEMAUX,FFT10,org,125,125,SVC,0.243246376811594,0.317300639809333,0.339261914781001,0.256723410482663,0.333330513912032,0.314349098461248,0.333091467168546,0.345996045184997
P3,RAWSEMAUX,FFT10,org,125,125,SVM,0.180455936771895,0.176324824600687,0.170343850227493,0.205549373547692,0.236984636739639,0.170492920655575,0.166666666666667,0.167189132706374
P3,RAWSEMAUX,FFT10,org,125,125,XGB,0.313837920489297,0.349528090807464,0.384015901590159,0.344442529890966,0.327442662291893,0.367746893813244,0.445902219043646,0.449407609607214
P3,RAWSEMAUX,FFT10,org,250,125,CART,0.277643668827174,0.38698134098139,0.329633190883191,0.295401417534742,0.313942418290244,0.314949125417678,0.342408453034544,0.380127200697788
P3,RAWSEMAUX,FFT10,org,250,125,CNNARTIGO,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
P3,RAWSEMAUX,FFT10,org,250,125,CNNMINDBRUSH,0.346263667386308,0.298184739102317,0.364278401958587,0.0,0.0,0.0,0.0,0.0
P3,RAWSEMAUX,FFT10,org,250,125,CNNOUTRA,0.363719091251412,0.0766556029713924,0.0,0.0,0.0,0.0,0.0,0.0
P3,RAWSEMAUX,FFT10,org,250,125,KNC-3,0.236665462645235,0.358283673331857,0.312035540504716,0.36050711344829,0.379480373751106,0.367184954982472,0.543155328873531,0.489762724837352
P3,RAWSEMAUX,FFT10,org,250,125,LDA,0.236807827456682,0.37548599703274,0.334962353735821,0.293509161912755,0.355180003594889,0.344316728186353,0.337968847945282,0.377853002147083
