Participante,RAW ou Ondas,Filtro,Original ou Estatístico,Num Linhas,Passo,Método ML,qtde_treino_1,qtde_treino_2,qtde_treino_4,qtde_treino_6,qtde_treino_8,qtde_treino_10,qtde_treino_12,qtde_treino_14
P3,RAWSEMAUX,FFT10,org,125,62,CART,0.400625978090767,0.33489827856025,0.347417840375587,0.375586854460094,0.298904538341158,0.356807511737089,0.341158059467919,0.385542168674699
P3,RAWSEMAUX,FFT10,org,125,62,CNNARTIGO,0.38810641627543,0.154929577464789,0.0,0.0,0.0,0.0,0.333333333333333,0.0200803212851406
P3,RAWSEMAUX,FFT10,org,125,62,CNNMINDBRUSH,0.389671361502347,0.358372456964006,0.0,0.0,0.0,0.0,0.336463223787167,0.0
P3,RAWSEMAUX,FFT10,org,125,62,CNNOUTRA,0.417840375586854,0.367762128325509,0.0,0.0,0.0,0.0,0.0172143974960876,0.0321285140562249
P3,RAWSEMAUX,FFT10,org,125,62,KNC-3,0.380281690140845,0.422535211267606,0.331768388106416,0.34585289514867,0.394366197183099,0.430359937402191,0.464788732394366,0.471887550200803
P3,RAWSEMAUX,FFT10,org,125,62,LDA,0.350547730829421,0.317683881064163,0.37245696400626,0.344287949921753,0.366197183098592,0.370892018779343,0.31924882629108,0.329317269076305
P3,RAWSEMAUX,FFT10,org,125,62,LR,0.359937402190923,0.353677621283255,0.377151799687011,0.29264475743349,0.348982785602504,0.333333333333333,0.366197183098592,0.383534136546185
P3,RAWSEMAUX,FFT10,org,125,62,LSTM,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P3,RAWSEMAUX,FFT10,org,125,62,MLP,0.350547730829421,0.325508607198748,0.273865414710485,0.342723004694836,0.339593114241002,0.342723004694836,0.330203442879499,0.333333333333333
P3,RAWSEMAUX,FFT10,org,125,62,SVC,0.367762128325509,0.350547730829421,0.344287949921753,0.325508607198748,0.366197183098592,0.367762128325509,0.333333333333333,0.373493975903614
