Participante,RAW ou Ondas,Filtro,Original ou Estatístico,Num Linhas,Passo,Método ML,qtde_treino_1,qtde_treino_2,qtde_treino_4,qtde_treino_6,qtde_treino_8,qtde_treino_10,qtde_treino_12,qtde_treino_14
P8,RAWSEMAUX,FFT10,org,125,62,CART,0.386541471048513,0.419405320813772,0.38810641627543,0.29264475743349,0.312925170068027,0.320813771517997,0.342723004694836,0.331768388106416
P8,RAWSEMAUX,FFT10,org,125,62,CNNARTIGO,0.374021909233177,0.331768388106416,0.330203442879499,0.270735524256651,0.217687074829932,0.21283255086072,0.0453834115805947,0.167449139280125
P8,RAWSEMAUX,FFT10,org,125,62,CNNMINDBRUSH,0.37245696400626,0.366197183098592,0.344287949921753,0.303599374021909,0.340136054421769,0.339593114241002,0.0,0.00625978090766823
P8,RAWSEMAUX,FFT10,org,125,62,CNNOUTRA,0.344287949921753,0.364632237871674,0.317683881064163,0.258215962441315,0.27891156462585,0.29264475743349,0.247261345852895,0.350547730829421
P8,RAWSEMAUX,FFT10,org,125,62,KNC-3,0.339593114241002,0.331768388106416,0.347417840375587,0.270735524256651,0.333333333333333,0.356807511737089,0.306729264475743,0.267605633802817
P8,RAWSEMAUX,FFT10,org,125,62,LDA,0.348982785602504,0.344287949921753,0.339593114241002,0.262910798122066,0.329931972789116,0.333333333333333,0.347417840375587,0.328638497652582
P8,RAWSEMAUX,FFT10,org,125,62,LR,0.355242566510172,0.330203442879499,0.347417840375587,0.294209702660407,0.255102040816327,0.33489827856025,0.323943661971831,0.280125195618153
P8,RAWSEMAUX,FFT10,org,125,62,LSTM,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P8,RAWSEMAUX,FFT10,org,125,62,MLP,0.333333333333333,0.330203442879499,0.327073552425665,0.333333333333333,0.333333333333333,0.336463223787167,0.333333333333333,0.333333333333333
P8,RAWSEMAUX,FFT10,org,125,62,SVC,0.353677621283255,0.306729264475743,0.333333333333333,0.250391236306729,0.282312925170068,0.298904538341158,0.314553990610329,0.294209702660407
P8,RAWSEMAUX,FFT10,org,125,62,SVM,0.338028169014084,0.338028169014084,0.333333333333333,0.338028169014084,0.341836734693878,0.367762128325509,0.347417840375587,0.328638497652582
P8,RAWSEMAUX,FFT10,org,125,62,XGB,0.347417840375587,0.355242566510172,0.369327073552426,0.270735524256651,0.268707482993197,0.302034428794992,0.306729264475743,0.323943661971831
P8,RAWSEMAUX,FFT10,org,125,125,CART,0.391025641025641,0.365079365079365,0.361904761904762,0.358974358974359,0.308771929824561,0.28525641025641,0.326984126984127,0.336507936507936
P8,RAWSEMAUX,FFT10,org,125,125,CNNARTIGO,0.326923076923077,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.320634920634921,0.333333333333333
P8,RAWSEMAUX,FFT10,org,125,125,CNNMINDBRUSH,0.362179487179487,0.355555555555556,0.33968253968254,0.256410256410256,0.0,0.342948717948718,0.0,0.0
P8,RAWSEMAUX,FFT10,org,125,125,CNNOUTRA,0.355769230769231,0.352380952380952,0.323809523809524,0.237179487179487,0.354385964912281,0.288461538461538,0.247619047619048,0.174603174603175
P8,RAWSEMAUX,FFT10,org,125,125,KNC-3,0.33974358974359,0.352380952380952,0.384126984126984,0.298076923076923,0.326315789473684,0.394230769230769,0.279365079365079,0.266666666666667
P8,RAWSEMAUX,FFT10,org,125,125,LDA,0.349358974358974,0.292063492063492,0.320634920634921,0.307692307692308,0.329824561403509,0.320512820512821,0.304761904761905,0.317460317460317
P8,RAWSEMAUX,FFT10,org,125,125,LR,0.352564102564103,0.368253968253968,0.33015873015873,0.307692307692308,0.273684210526316,0.352564102564103,0.295238095238095,0.326984126984127
P8,RAWSEMAUX,FFT10,org,125,125,LSTM,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P8,RAWSEMAUX,FFT10,org,125,125,MLP,0.352564102564103,0.333333333333333,0.333333333333333,0.330128205128205,0.333333333333333,0.333333333333333,0.333333333333333,0.346031746031746
P8,RAWSEMAUX,FFT10,org,125,125,SVC,0.352564102564103,0.352380952380952,0.352380952380952,0.317307692307692,0.312280701754386,0.333333333333333,0.231746031746032,0.304761904761905
P8,RAWSEMAUX,FFT10,org,125,125,SVM,0.33974358974359,0.336507936507936,0.333333333333333,0.33974358974359,0.343859649122807,0.346153846153846,0.333333333333333,0.320634920634921
P8,RAWSEMAUX,FFT10,org,125,125,XGB,0.346153846153846,0.361904761904762,0.361904761904762,0.294871794871795,0.27719298245614,0.282051282051282,0.276190476190476,0.311111111111111
P8,RAWSEMAUX,FFT10,org,250,125,CART,0.382838283828383,0.356209150326797,0.330065359477124,0.33003300330033,0.297101449275362,0.273927392739274,0.274509803921569,0.326797385620915
P8,RAWSEMAUX,FFT10,org,250,125,CNNARTIGO,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.336601307189542,0.333333333333333
P8,RAWSEMAUX,FFT10,org,250,125,CNNMINDBRUSH,0.336633663366337,0.343137254901961,0.398692810457516,0.267326732673267,0.333333333333333,0.31023102310231,0.0,0.0
P8,RAWSEMAUX,FFT10,org,250,125,CNNOUTRA,0.346534653465346,0.366013071895425,0.326797385620915,0.260726072607261,0.235507246376812,0.217821782178218,0.0,0.235294117647059
P8,RAWSEMAUX,FFT10,org,250,125,KNC-3,0.336633663366337,0.339869281045752,0.356209150326797,0.273927392739274,0.329710144927536,0.372937293729373,0.277777777777778,0.19281045751634
P8,RAWSEMAUX,FFT10,org,250,125,LDA,0.343234323432343,0.339869281045752,0.356209150326797,0.313531353135314,0.329710144927536,0.376237623762376,0.316993464052288,0.343137254901961
P8,RAWSEMAUX,FFT10,org,250,125,LR,0.343234323432343,0.339869281045752,0.349673202614379,0.32013201320132,0.286231884057971,0.34983498349835,0.300653594771242,0.313725490196078
P8,RAWSEMAUX,FFT10,org,250,125,LSTM,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
P8,RAWSEMAUX,FFT10,org,250,125,MLP,0.346534653465346,0.372549019607843,0.333333333333333,0.333333333333333,0.333333333333333,0.33003300330033,0.333333333333333,0.333333333333333
