Participante,RAW ou Ondas,Filtro,Original ou Estatístico,Num Linhas,Passo,Método ML,qtde_treino_1,qtde_treino_2,qtde_treino_4,qtde_treino_6,qtde_treino_8,qtde_treino_10,qtde_treino_12,qtde_treino_14
P4,RAWSEMAUX,FFT10,org,125,62,CART,0.179902117994797,0.369636212573703,0.335512727549649,0.312462640914222,0.323619974929778,0.298479061665905,0.315730165981422,0.333555428975148
P4,RAWSEMAUX,FFT10,org,125,62,CNNARTIGO,0.166865315852205,0.166067864271457,0.16624895572264,0.0,0.0,0.0,0.0,0.0
P4,RAWSEMAUX,FFT10,org,125,62,CNNMINDBRUSH,0.202225136232297,0.307843725549025,0.308032293377121,0.325843299641608,0.0,0.0,0.0,0.0
P4,RAWSEMAUX,FFT10,org,125,62,CNNOUTRA,0.165499301021805,0.195570864679452,0.0,0.0,0.0,0.0,0.00863254392666157,0.0
P4,RAWSEMAUX,FFT10,org,125,62,KNC-3,0.173036180759817,0.315610952879175,0.373908586783351,0.248928769044812,0.264915662294695,0.29880520618225,0.316020280073686,0.325524707940706
P4,RAWSEMAUX,FFT10,org,125,62,LDA,0.28229444388197,0.310353068396864,0.288015275348214,0.340965886834,0.307420255323125,0.347557702630166,0.323508522961954,0.367016021786074
P4,RAWSEMAUX,FFT10,org,125,62,LR,0.221558002921644,0.249583160763154,0.300159346136124,0.355506091870116,0.256392933463762,0.308600559715604,0.363951664413946,0.364911627284526
P4,RAWSEMAUX,FFT10,org,125,62,LSTM,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667
P4,RAWSEMAUX,FFT10,org,125,62,MLP,0.166070719110052,0.200409534829435,0.258414003316157,0.168168011802482,0.204229106477111,0.182941051164571,0.174560399296234,0.166666666666667
P4,RAWSEMAUX,FFT10,org,125,62,SVC,0.251827822620141,0.268284587180696,0.28349404604585,0.330251325044256,0.257493994833858,0.303435447251817,0.313210328360546,0.334776003381921
P4,RAWSEMAUX,FFT10,org,125,62,SVM,0.168712563051702,0.214697282421741,0.205362588800429,0.226141894548462,0.181106073721108,0.189259458490228,0.166666666666667,0.166666666666667
P4,RAWSEMAUX,FFT10,org,125,62,XGB,0.161198865937627,0.338870462160656,0.310262535302,0.242885476690391,0.34355032370563,0.308994548701693,0.344535624867347,0.371949342537416
P4,RAWSEMAUX,FFT10,org,125,125,CART,0.246837196935007,0.299254976346642,0.324445197770156,0.352287789465572,0.318818908034594,0.355784092916446,0.281924130100848,0.300095307158396
P4,RAWSEMAUX,FFT10,org,125,125,CNNARTIGO,0.166666666666667,0.167076167076167,0.166666666666667,0.0,0.0,0.0,0.0,0.0
P4,RAWSEMAUX,FFT10,org,125,125,CNNMINDBRUSH,0.161716171617162,0.235310876487347,0.31069071641717,0.0765758972149978,0.0523316839106313,0.0,0.0,0.295912713634233
P4,RAWSEMAUX,FFT10,org,125,125,CNNOUTRA,0.169275224636821,0.267111201601683,0.284358989580635,0.213598999093235,0.0,0.0,0.0,0.0
