recommender,similarity,neighbor_size,rec_size,Temporal-10-1-2,Temporal-10-2-3,Temporal-10-3-4,Temporal-10-4-5,Temporal-10-5-6,Temporal-10-6-7,Temporal-10-7-8,Temporal-10-8-9,Temporal-10-9-10,accum
Dominance,JaroSimilarity,10,2,9.71872415027717E-4,0.00752573193553823,0.011594202898550725,0.0017582417582417582,0.013288770053475934,0.0,1.321353065539112E-4,0.0,0.0,0.03527095436738828
Dominance,JaroSimilarity,10,5,0.004088466753912696,0.011909133455117423,0.021859903381642513,0.008732600732600732,0.013360857712068784,0.013251053076149353,0.0020459211958050766,0.0,0.0013368983957219253,0.07658483470301851
Dominance,JaroSimilarity,10,7,0.004157463650917112,0.012066070052731989,0.022342995169082128,0.009318681318681318,0.013360857712068784,0.015482651967894171,0.02505429384182921,0.0,0.0013368983957219253,0.10311991210892664
Dominance,JaroSimilarity,10,10,0.004350468484429464,0.015395367873555233,0.024758454106280192,0.009615757979394342,0.016220334836251793,0.027151329610731238,0.025674685220161596,0.004020512180579722,0.0026737967914438505,0.12986070708282743
Dominance,JaroSimilarity,10,0,0.0010390045310320136,0.012032054238470704,0.012137681159420289,0.0017582417582417582,0.013592943004707711,0.022489842179019406,0.0016974492151347381,0.0022152256783556285,0.0025186684010213424,0.06948111016540358
Dominance,JaroSimilarity,15,2,9.71872415027717E-4,0.0,0.004347826086956522,0.0017582417582417582,9.307520476545047E-5,4.065040650406504E-4,6.60676532769556E-5,0.0,0.0,0.007643587183309053
Dominance,JaroSimilarity,15,5,0.004088466753912696,6.22113901733172E-4,0.0048913043478260865,0.008732600732600732,9.307520476545047E-5,4.065040650406504E-4,0.02333084571559023,0.0,0.0013368983957219253,0.04350180911719094
Dominance,JaroSimilarity,15,7,0.004157463650917112,0.0023170291559704605,0.0048913043478260865,0.008732600732600732,0.002989688395496288,0.011261379551820728,0.02690321811063704,0.0,0.0013368983957219253,0.06258958234099038
Dominance,JaroSimilarity,15,10,0.004350468484429464,0.00443567322376707,0.005683229813664596,0.009514041514041513,0.01583282565039825,0.015321477819390361,0.03813471995473106,0.002273787289750027,0.0026737967914438505,0.0982200205416162
Dominance,JaroSimilarity,15,0,0.0012835660580021483,0.00211864406779661,0.004347826086956522,0.0025787545787545785,0.001512815595094076,0.012955997254777744,0.02749311722853765,0.0010613390436363568,0.0036879955744053105,0.057040055487961
Dominance,JaroSimilarity,20,2,9.71872415027717E-4,0.0,0.004347826086956522,4.2440318302387265E-4,0.0,0.0,6.60676532769556E-5,0.0,0.0,0.005810169338285066
Dominance,JaroSimilarity,20,5,0.004088466753912696,6.22113901733172E-4,0.0074130434782608695,0.0014454617441893858,0.0,0.01829268292682927,0.0019859258958096165,0.0,0.0013368983957219253,0.03518459309645693
Dominance,JaroSimilarity,20,7,0.0041744704536382,0.0023170291559704605,0.0074130434782608695,0.0014454617441893858,0.0,0.019351045296167248,0.005011745221823728,0.0,0.0013368983957219253,0.04104969374577182
Dominance,JaroSimilarity,20,10,0.00447838921794026,0.00443567322376707,0.007961340758192333,0.009650589949317591,0.0030637254901960784,0.019351045296167248,0.005949891582505301,8.957563542716381E-4,0.0023510971786833857,0.058137509051040905
Dominance,JaroSimilarity,20,0,0.003730256470404254,0.0024899796921171225,0.004995502248875562,8.256983658053177E-4,0.0,0.01918771777003484,0.0070893039542328316,9.193288899103654E-4,0.0019433265339875406,0.041181113925367836
Dominance,JaroSimilarity,25,2,9.71872415027717E-4,0.0,0.004347826086956522,4.2440318302387265E-4,0.0,0.0,0.0032327586206896556,0.0,0.0,0.008976860305697765
Dominance,JaroSimilarity,25,5,0.0038234440781757346,6.22113901733172E-4,0.0074130434782608695,0.0014454617441893858,0.0,0.01829268292682927,0.006648213374755482,0.0,0.0,0.038244959503943916
Dominance,JaroSimilarity,25,7,0.0038924409751801507,0.0023170291559704605,0.0074130434782608695,0.0014454617441893858,0.0,0.019351045296167248,0.012673103712394823,0.0022931362669353934,0.0,0.04938526062909833
Dominance,JaroSimilarity,25,10,0.003944878616903506,0.00443567322376707,0.007961340758192333,0.009650589949317591,0.0030637254901960784,0.019351045296167248,0.013201644938610469,0.0037482837349419105,0.0010141987829614604,0.06637138079105764
Dominance,JaroSimilarity,25,0,0.0011229711182718701,0.0,0.004596273291925466,0.0,5.882352941176471E-4,0.001383089730453214,0.008192382330313363,0.003243917654398004,0.0010141987829614604,0.020141068202441024
Dominance,JaroSimilarity,30,2,9.71872415027717E-4,0.0,0.004347826086956522,4.2440318302387265E-4,0.0,0.0,0.0010410436197029905,0.0,0.0,0.006785145304711101
Dominance,JaroSimilarity,30,5,0.0010781649320345198,4.7600051774719887E-4,0.005239130434782609,0.0014454617441893858,0.0,0.01829268292682927,0.008310504978979906,0.004039596549064637,0.0,0.03888154208362753
Dominance,JaroSimilarity,30,7,0.0011471618290389356,0.002170915771984487,0.005467963386727689,0.0014454617441893858,0.0,0.01980836236933798,0.008476557771735192,0.040178732221403134,0.0,0.0786951550944168
Dominance,JaroSimilarity,30,10,0.004034164331189221,0.004992171392876912,0.0060162606666591505,0.009650589949317591,0.0030637254901960784,0.02054006968641115,0.008608693078289103,0.042138266157480654,0.0010141987829614604,0.10005813953538131
Dominance,JaroSimilarity,30,0,0.001020408163265306,0.002381512868801005,0.004347826086956522,5.261196483767016E-4,6.127450980392157E-4,0.0015380486815518015,0.002483298185010864,0.00503242747736681,0.0,0.017942386209368225
Dominance,JaroSimilarity,40,2,9.71872415027717E-4,0.0,0.0046956521739130435,0.0011483850834763613,5.406574394463668E-5,0.0213109756097561,9.881422924901185E-4,0.0,0.0,0.029169093318607977
Dominance,JaroSimilarity,40,5,0.0010781649320345198,4.7600051774719887E-4,0.005467963386727689,0.0021251860602773385,0.0033700980392156864,0.0213109756097561,0.0013377926421404682,3.015284085962832E-4,0.014705882352941176,0.050173591949436463
Dominance,JaroSimilarity,40,7,0.0011471618290389356,4.7600051774719887E-4,0.019508994819063465,0.0022269025256301672,0.0033700980392156864,0.021768292682926828,0.0014038602954174239,4.6104666346657487E-4,0.014705882352941176,0.06506823972544745
Dominance,JaroSimilarity,40,10,0.0018203477700820196,0.003297256138639623,0.026620439096924534,0.0022269025256301672,0.003647567517573067,0.022276422764227637,0.0024425822117989148,0.0022997044432873054,0.014705882352941176,0.07933710482110445
Dominance,JaroSimilarity,40,0,0.0017804701456179287,3.4590107229332407E-4,0.01878151833174322,0.0011483850834763613,0.0025050461361014994,0.0016944801026957637,0.0012299217895887647,0.004003826287999203,0.015882352941176472,0.047371901890692535
Dominance,JaroSimilarity,50,2,9.71872415027717E-4,0.0,0.004347826086956522,7.239819004524887E-4,5.406574394463668E-5,0.0,0.008828671328671328,1.420101537259914E-4,0.0,0.015068427628778684
Dominance,JaroSimilarity,50,5,0.0011762811015792608,4.7600051774719887E-4,0.0048913043478260865,0.0015054226818932701,0.0033700980392156864,0.0,0.011402147248939043,1.420101537259914E-4,0.0,0.022963264090926538
Dominance,JaroSimilarity,50,7,0.0012452779985836764,4.7600051774719887E-4,0.020671466214944475,0.0018024993426062942,0.0033700980392156864,0.0012195121951219512,0.026012536859328653,1.420101537259914E-4,8.403361344537815E-4,0.0557797374557277
Dominance,JaroSimilarity,50,10,0.001916599158626641,0.001504557312042492,0.020671466214944475,0.0018024993426062942,0.003647567517573067,0.0013070369938149142,0.029703212663075827,1.420101537259914E-4,8.403361344537815E-4,0.06153528549086348
Dominance,JaroSimilarity,50,0,9.71872415027717E-4,6.032605618640141E-4,0.004347826086956522,7.239819004524887E-4,0.00357130473187041,0.0021150784388910193,0.011572377435448805,0.0018017070718432324,0.0,0.025707408642354213
Dominance,JaroSimilarity,5,2,0.0047996259058438505,0.00752573193553823,0.011594202898550725,1.01716465352829E-4,0.012254901960784314,5.08130081300813E-4,0.006073667711598746,0.0,0.0,0.04285797695896951
Dominance,JaroSimilarity,5,5,0.010428634222589453,0.013604048709354713,0.017512077294685992,0.0020553184189547823,0.016339869281045753,0.0028550189914920334,0.018353597289063536,0.0,0.0,0.08114856420718626
Dominance,JaroSimilarity,5,7,0.012492387355421533,0.019183144754552454,0.02041062801932367,0.0020553184189547823,0.0164119569396386,0.0028550189914920334,0.018353597289063536,0.0,0.0,0.09176205176844661
Dominance,JaroSimilarity,5,10,0.015117571362057672,0.038836477222028695,0.025348159253706475,0.0020553184189547823,0.0164119569396386,0.021147701918321302,0.02062632456179081,0.0355473837432008,0.0,0.17509089341969913
Dominance,JaroSimilarity,5,0,0.004146063931936134,0.008090703686950659,0.012137681159420289,2.9707666071302434E-4,0.016631652661064426,0.0016994602719136438,0.01993412938282739,0.0029383021938700193,0.0,0.06587506994869559
Dominance,JaroSimilarity,60,2,9.71872415027717E-4,0.0,0.013043478260869566,0.0,5.406574394463668E-5,6.359874881216344E-4,0.005681818181818182,0.0,8.403361344537815E-4,0.02122755822423552
Dominance,JaroSimilarity,60,5,0.0010781649320345198,4.7600051774719887E-4,0.013043478260869566,9.19342095812684E-4,0.0033700980392156864,8.051760498807995E-4,0.005745838668373879,0.0026872690628149147,8.403361344537815E-4,0.028965703761203034
Dominance,JaroSimilarity,60,7,0.001164168631760024,0.001084431634652892,0.013793995859213249,0.0011147022911728794,0.0033700980392156864,8.051760498807995E-4,0.006033525664921636,0.0026872690628149147,8.403361344537815E-4,0.030893703368085862
Dominance,JaroSimilarity,60,10,0.0018354897918029885,0.0014696396469795485,0.0170752123938031,0.0018024993426062942,0.003647567517573067,0.0018214362124824254,0.006099593318198592,0.0026872690628149147,8.403361344537815E-4,0.037279043420714704
Dominance,JaroSimilarity,60,0,0.0010054384730298653,1.569365976145637E-4,0.013272311212814646,0.0,0.0024663953631767167,0.0011835783822181569,0.006210359408033826,0.0030063055725554977,0.0025210084033613443,0.029822333412804616
Dominance,JaroSimilarity,8,2,9.71872415027717E-4,0.011763020071131452,0.011594202898550725,1.01716465352829E-4,0.013288770053475934,3.266550522648084E-4,6.60676532769556E-5,0.0,0.0,0.03811230460908042
Dominance,JaroSimilarity,8,5,0.0016424849582906363,0.025407922801364398,0.021859903381642513,0.0020553184189547823,0.013360857712068784,0.014115728214497376,0.024239043881238334,0.0,0.0013368983957219253,0.10401815776377875
Dominance,JaroSimilarity,8,7,0.001711481855295052,0.03864944822509321,0.022342995169082128,0.0020553184189547823,0.013360857712068784,0.015727643257092777,0.024435199674347947,0.0,0.0013368983957219253,0.1196198427076566
Dominance,JaroSimilarity,8,10,0.001711481855295052,0.06573404886838968,0.024758454106280192,0.0020553184189547823,0.016220334836251793,0.02576368992864972,0.03839270847597555,0.002273787289750027,0.0026737967914438505,0.17958362057099064
Dominance,JaroSimilarity,8,0,0.0012910186958078424,0.01227106227106227,0.012981009495252374,0.0017582417582417582,0.01610007065889419,0.01239670273489574,0.00367169002648164,0.004341694621951202,0.0010141987829614604,0.06582568904554847
Dominance,LCS-Ponderado,10,2,0.003676113480217958,0.0,0.0012759924385633268,4.2440318302387265E-4,5.070993914807302E-4,0.001016260162601626,0.005934343434343434,0.0,0.005347593582887701,0.018181805673118646
Dominance,LCS-Ponderado,10,5,0.006835789804149207,0.017231638418079096,0.0012759924385633268,0.0014402761988968884,0.006274112078908643,0.0029979674796747962,0.007313599611134822,5.406529423996673E-4,0.009494949494949494,0.053404978466755945
Dominance,LCS-Ponderado,10,7,0.009386810212312474,0.017761299435028247,0.00997164461247637,0.0014402761988968884,0.006274112078908643,0.0032342132777728756,0.008234492251146266,5.406529423996673E-4,0.010335285629403276,0.0671787866383447
Dominance,LCS-Ponderado,10,10,0.01163217991068969,0.020866701310990363,0.0259481801542293,0.0015419926642497176,0.006274112078908643,0.005798227932763387,0.009263185515123744,5.406529423996673E-4,0.011672184025125203,0.0935374165344797
Dominance,LCS-Ponderado,10,0,0.0025239061507978957,2.824858757062147E-4,0.002518228463408047,0.0014402761988968884,5.070993914807302E-4,0.0010063927629593672,0.007267709258980612,0.0012547502775565494,0.011672184025125203,0.028473032404911506
