recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,JaroSimilarity,10,2,1.4697236919459142E-4,0.0025922122001098644,0.00448939198939199,0.0021584818194987686,0.0,0.009387058378195215
Dominance,JaroSimilarity,10,5,1.4697236919459142E-4,0.005358302273352812,0.004518677996537775,0.0034639224533811997,0.0,0.013487875092466378
Dominance,JaroSimilarity,10,7,2.838087129274869E-4,0.007563981898387276,0.004518677996537775,0.004039332016317715,0.0,0.016405800624170252
Dominance,JaroSimilarity,10,10,0.0012986282209776206,0.013825329622471376,0.0060259992713009095,0.004145953736201837,0.00160926939169617,0.026905180242647913
Dominance,JaroSimilarity,10,0,6.067571461042764E-4,0.003184361985808037,0.004935545080071525,0.004271529318526358,0.0,0.012998193530510196
Dominance,JaroSimilarity,15,2,1.4697236919459142E-4,0.0025223895496420527,2.5936300446104367E-5,0.0021584818194987686,0.0,0.004853780038781517
Dominance,JaroSimilarity,15,5,1.4697236919459142E-4,0.0025223895496420527,2.5936300446104367E-5,0.0028321099790204365,0.0,0.005527408198303186
Dominance,JaroSimilarity,15,7,2.838087129274869E-4,0.007072498938461118,0.0021111559101755183,0.006062158080463519,0.0,0.015529621642027643
Dominance,JaroSimilarity,15,10,0.0012986282209776206,0.012775265458802722,0.006360047659067267,0.006062158080463519,0.00160926939169617,0.028105368811007298
Dominance,JaroSimilarity,15,0,7.899764844209289E-4,0.002749850260973731,2.5936300446104367E-5,0.0016951845120433036,0.0,0.005260947557884068
Dominance,JaroSimilarity,20,2,1.4697236919459142E-4,0.002688172043010753,0.0,0.0021584818194987686,0.0,0.0049936262317041135
Dominance,JaroSimilarity,20,5,1.4697236919459142E-4,0.002688172043010753,0.0,0.003266703633953074,0.0,0.006101848046158419
Dominance,JaroSimilarity,20,7,2.838087129274869E-4,0.002688172043010753,0.0,0.0060380139885228175,0.0,0.009009994744461057
Dominance,JaroSimilarity,20,10,0.0012986282209776206,0.002688172043010753,0.0021754071999170043,0.018544337709799814,0.002042239489938235,0.026748784663643426
Dominance,JaroSimilarity,20,0,0.0,0.002688172043010753,3.7733658423313597E-4,0.013835949721976272,0.0,0.01690145834922016
