recommender,similarity,neighbor_size,rec_size,Temporal-8-1-2,Temporal-8-2-3,Temporal-8-3-4,Temporal-8-4-5,Temporal-8-5-6,Temporal-8-6-7,Temporal-8-7-8,accum
Dominance,JaroSimilarity,10,2,0.0034129692832764505,8.085996955859969E-4,0.010252365930599368,0.010308489351979038,3.4818941504178273E-4,0.0011666946449555144,0.0,0.026297308321438152
Dominance,JaroSimilarity,10,5,0.0035196245733788395,0.004396336160034791,0.010252365930599368,0.010359159464213336,0.002087135959779937,0.0011666946449555144,0.0,0.03178131673296178
Dominance,JaroSimilarity,10,7,0.003832364003621927,0.02418324635790389,0.010252365930599368,0.010359159464213336,0.003751210047252353,0.0013013808261533235,0.0,0.05367972662974419
Dominance,JaroSimilarity,10,10,0.005455894530736072,0.026450648206235803,0.010391538318797551,0.012532127738876528,0.018841329537751698,0.0013013808261533235,0.0,0.07497291915855096
Dominance,JaroSimilarity,10,0,1.0665529010238908E-4,0.006208118365652613,0.010252365930599368,0.009966082229910899,0.00927168253875658,0.0017209602099270808,0.0,0.03752586456494893
Dominance,JaroSimilarity,15,2,0.0034129692832764505,0.002663622526636225,7.886435331230284E-4,5.136106831022085E-5,3.4818941504178273E-4,0.0,0.0,0.007264785826387708
Dominance,JaroSimilarity,15,5,0.0035196245733788395,0.03475863381094841,0.005520504731861199,5.136106831022085E-5,0.0015995927350790692,2.0144367970454928E-4,0.0,0.04565116059928229
Dominance,JaroSimilarity,15,7,0.003832364003621927,0.0486475226998373,0.005520504731861199,0.002328368430063345,0.0016349419142711282,3.361298609023584E-4,0.0,0.06229983164055725
Dominance,JaroSimilarity,15,10,0.005455894530736072,0.050447651125279595,0.005520504731861199,0.012294450659974242,0.010160176324295491,0.0015028245058578728,0.0,0.08538150187800446
Dominance,JaroSimilarity,15,0,3.4826217176290306E-5,0.013583974204918688,0.001516622179082747,8.44604234434743E-4,0.001439484378203041,9.135790576230002E-4,3.6082474226804123E-4,0.01869391501370655
Dominance,JaroSimilarity,20,2,0.0034129692832764505,0.0,0.0,0.0,3.4818941504178273E-4,0.0,0.0,0.0037611586983182332
Dominance,JaroSimilarity,20,5,0.0035196245733788395,1.6307893020221786E-4,0.010159584338467248,0.0,0.014605519828361054,0.0,0.0,0.02844780767040936
Dominance,JaroSimilarity,20,7,0.003832364003621927,1.6307893020221786E-4,0.010159584338467248,0.0,0.014605519828361054,3.361298609023584E-4,0.007216494845360825,0.03631317180691563
