recommender,similarity,neighbor_size,rec_size,Temporal-9-1-2,Temporal-9-2-3,Temporal-9-3-4,Temporal-9-4-5,Temporal-9-5-6,Temporal-9-6-7,Temporal-9-7-8,Temporal-9-8-9,accum
Dominance,JaroSimilarity,10,2,0.003969722315098606,0.02355661065338485,0.0,9.739946180624147E-4,0.004807303052384422,0.003609466146848906,0.0,0.0,0.036917096785779195
Dominance,JaroSimilarity,10,5,0.005605740160684131,0.02420121624922825,3.1892795050689784E-4,0.0023864239965934882,0.004959112622459719,0.00607618846307232,3.032272038119991E-4,0.0,0.043850836646356806
Dominance,JaroSimilarity,10,7,0.007871153172610678,0.027307548387818455,0.0033219309535099007,0.0023864239965934882,0.004959112622459719,0.007644179949495645,3.032272038119991E-4,0.0,0.05379357628629988
Dominance,JaroSimilarity,10,10,0.00850008399022074,0.034476007169180464,0.0033219309535099007,0.0023864239965934882,0.004959112622459719,0.0077419659123206825,3.032272038119991E-4,0.0,0.061688751848096995
Dominance,JaroSimilarity,10,0,0.004753293773494758,0.01970356405840277,2.649708532061473E-4,0.0026761530998819136,0.00523490000809651,0.009497878409600629,0.0019237981498506603,0.0016323199347072026,0.04568687828724059
Dominance,JaroSimilarity,15,2,0.0032860019815628503,0.02714084004406585,0.0,0.0014124293785310734,6.33412344107276E-4,0.003609466146848906,0.0,0.0,0.03608214989511596
Dominance,JaroSimilarity,15,5,0.003399775320472102,0.027900061048003202,3.217503217503217E-4,0.005178907721280602,0.001316555409446115,0.005169875733001782,0.0,0.0,0.04328692555395412
Dominance,JaroSimilarity,15,7,0.008212505406130607,0.02902683083568822,4.7980311138205874E-4,0.005178907721280602,0.0014683649795214125,0.008588525748577729,0.0,0.0,0.05295493780258063
Dominance,JaroSimilarity,15,10,0.008212505406130607,0.02902683083568822,0.0051423604055183,0.006152902339343017,0.005279635218578079,0.028649316022133962,3.032272038119991E-4,0.0,0.08276677743120418
Dominance,JaroSimilarity,15,0,0.003502196950116309,0.01877763813247684,1.6087516087516084E-4,0.0014124293785310734,0.005347099494945265,0.003910070134281671,8.151116843764716E-4,0.0,0.033925420935602794
Dominance,JaroSimilarity,20,2,0.0032860019815628503,0.0,0.005791505791505791,0.0,0.001063539459320619,0.003609466146848906,0.0,0.0,0.013750513379238168
Dominance,JaroSimilarity,20,5,0.003399775320472102,1.667083437526048E-4,0.006113256113256112,0.005178907721280602,0.001316555409446115,0.005604008702722037,0.0,0.0,0.021779211610929574
Dominance,JaroSimilarity,20,7,0.008212505406130607,1.667083437526048E-4,0.006113256113256112,0.005178907721280602,0.001316555409446115,0.006738108789982319,0.0,0.0,0.02772604178384836
Dominance,JaroSimilarity,20,10,0.008212505406130607,3.7152145179151927E-4,0.006313456313456313,0.005178907721280602,0.005127825648502782,0.026847792044951073,0.0,0.0016323199347072026,0.05368432852082009
Dominance,JaroSimilarity,20,0,0.003187731541311278,0.0,0.004643104643104643,0.0,0.001316555409446115,0.00439386141828268,0.0038024922775173296,0.0016323199347072026,0.01897606522436925
