recommender,similarity,neighbor_size,rec_size,Temporal-3-1-2,Temporal-3-2-3,accum
Dominance,JaroSimilarity,10,2,0.00125,0.0010033302946688772,0.0022533302946688774
Dominance,JaroSimilarity,10,5,0.00125,0.0016015414388330324,0.0028515414388330324
Dominance,JaroSimilarity,10,7,0.0013095238095238097,0.0018127488343776762,0.0031222726439014857
Dominance,JaroSimilarity,10,10,0.001536796536796537,0.001874517992071887,0.003411314528868424
Dominance,JaroSimilarity,10,0,0.0013095238095238097,0.0022417523656049552,0.0035512761751287647
Dominance,JaroSimilarity,15,2,0.001607142857142857,0.0010033302946688772,0.002610473151811734
Dominance,JaroSimilarity,15,5,0.0017559523809523808,0.0013247660251182144,0.003080718406070595
Dominance,JaroSimilarity,15,7,0.0017559523809523808,0.0027969925143077963,0.004552944895260177
Dominance,JaroSimilarity,15,10,0.0017559523809523808,0.0028316618403157047,0.004587614221268086
Dominance,JaroSimilarity,15,0,0.001607142857142857,0.0011627395036768896,0.0027698823608197465
Dominance,JaroSimilarity,20,2,0.001607142857142857,0.0010033302946688772,0.002610473151811734
Dominance,JaroSimilarity,20,5,0.0017559523809523808,0.0012196903930915476,0.0029756427740439285
Dominance,JaroSimilarity,20,7,0.0017559523809523808,0.0023731868377047717,0.004129139218657153
Dominance,JaroSimilarity,20,10,0.001983225108225108,0.008451331498526598,0.010434556606751706
Dominance,JaroSimilarity,20,0,0.0019281859692818599,0.00732315402783071,0.00925133999711257
Dominance,JaroSimilarity,25,2,0.0016318953323903817,0.0010033302946688772,0.002635225627059259
Dominance,JaroSimilarity,25,5,0.0017459335219236207,0.0013554475208693217,0.003101381042792942
Dominance,JaroSimilarity,25,7,0.0017459335219236207,0.006604791352890319,0.00835072487481394
Dominance,JaroSimilarity,25,10,0.004473206249196348,0.006966983841067059,0.011440190090263407
Dominance,JaroSimilarity,25,0,0.001859168059663109,0.0015840026141967533,0.0034431706738598626
Dominance,JaroSimilarity,30,2,0.0016318953323903817,0.0010033302946688772,0.002635225627059259
Dominance,JaroSimilarity,30,5,0.005969147807637906,0.0010033302946688772,0.0069724781023067835
Dominance,JaroSimilarity,30,7,0.006632026595516694,0.00645457196638299,0.013086598561899684
Dominance,JaroSimilarity,30,10,0.009383145772770173,0.006552762367101364,0.015935908139871537
Dominance,JaroSimilarity,30,0,0.0029935838978634704,0.0062526741266898745,0.009246258024553346
Dominance,JaroSimilarity,40,2,0.00125,7.340211893447087E-4,0.0019840211893447086
Dominance,JaroSimilarity,40,5,0.004649752475247525,0.001005226822133433,0.0056549792973809585
Dominance,JaroSimilarity,40,7,0.005432171493011371,0.001047221572789601,0.006479393065800972
Dominance,JaroSimilarity,40,10,0.010036608722448602,0.0018040439660378755,0.011840652688486476
Dominance,JaroSimilarity,40,0,0.005324257425742575,0.0011962035452132598,0.0065204609709558345
Dominance,JaroSimilarity,50,2,2.9848484848484847E-4,0.002109671421731099,0.0024081562702159475
Dominance,JaroSimilarity,50,5,2.9848484848484847E-4,0.0023406303141073137,0.002639115162592162
Dominance,JaroSimilarity,50,7,0.004923484848484849,0.0024676253309335807,0.007391110179418429
Dominance,JaroSimilarity,50,10,0.005813636363636363,0.0026525373475903133,0.008466173711226675
Dominance,JaroSimilarity,50,0,3.0303030303030303E-4,0.0022879367160900557,0.0025909670191203585
Dominance,JaroSimilarity,5,2,0.0011495528928353411,7.290755322251385E-5,0.001222460446057855
Dominance,JaroSimilarity,5,5,0.0024590767023591506,0.0012594879942443777,0.003718564696603528
Dominance,JaroSimilarity,5,7,0.004064263182545631,0.006545311570037142,0.010609574752582774
Dominance,JaroSimilarity,5,10,0.006801643722562165,0.006545311570037142,0.013346955292599307
Dominance,JaroSimilarity,5,0,0.003478627803431991,0.0011910710038431456,0.004669698807275136
Dominance,JaroSimilarity,60,2,0.0015484848484848485,0.00533984976015929,0.006888334608644139
Dominance,JaroSimilarity,60,5,0.0015484848484848485,0.006694180468820707,0.008242665317305557
Dominance,JaroSimilarity,60,7,0.0019073365231259967,0.007044136724288773,0.00895147324741477
Dominance,JaroSimilarity,60,10,0.0025702153110047843,0.007044136724288773,0.009614352035293558
Dominance,JaroSimilarity,60,0,0.002029050405040504,0.006031992950182552,0.008061043355223056
Dominance,JaroSimilarity,8,2,0.0011248004175878163,0.0010033302946688772,0.0021281307122566935
Dominance,JaroSimilarity,8,5,0.0012090767023591506,0.0015903248921834148,0.0027994015945425653
Dominance,JaroSimilarity,8,7,0.003519682762965211,0.0018127488343776762,0.005332431597342887
Dominance,JaroSimilarity,8,10,0.005448982494900938,0.001874517992071887,0.007323500486972825
Dominance,JaroSimilarity,8,0,0.0019656097159089525,0.0015472632212638828,0.003512872937172835
Dominance,LCS-Ponderado,10,2,2.6964560862865946E-4,1.2236232708673653E-5,2.8188184133733313E-4
Dominance,LCS-Ponderado,10,5,0.0011029789419619927,5.016855410556198E-4,0.0016046644830176125
Dominance,LCS-Ponderado,10,7,0.0011029789419619927,8.517529066051476E-4,0.0019547318485671405
Dominance,LCS-Ponderado,10,10,0.0017213564346486231,9.567397832455675E-4,0.0026780962178941906
Dominance,LCS-Ponderado,10,0,7.860476541390322E-5,2.2236907865017428E-4,3.009738440640775E-4
Dominance,LCS-Ponderado,15,2,4.2372881355932206E-5,1.2236232708673653E-5,5.4609114064605856E-5
Dominance,LCS-Ponderado,15,5,0.0015196456086286594,1.063792231200653E-4,0.0016260248317487248
Dominance,LCS-Ponderado,15,7,0.0015196456086286594,3.756544938322002E-4,0.0018953001024608596
Dominance,LCS-Ponderado,15,10,0.0017892912172573188,4.5770000289164023E-4,0.0022469912201489592
Dominance,LCS-Ponderado,15,0,1.5600924499229582E-4,8.047186197104859E-4,9.607278647027817E-4
Dominance,LCS-Ponderado,20,2,0.001381578947368421,1.2236232708673653E-5,0.0013938151800770946
Dominance,LCS-Ponderado,20,5,0.001381578947368421,8.664484781171568E-5,0.0014682237951801366
Dominance,LCS-Ponderado,20,7,0.001423951828724353,1.4657128712777508E-4,0.0015705231158521281
Dominance,LCS-Ponderado,20,10,0.0018356777839285694,2.8932733539563436E-4,0.002125005119324204
Dominance,LCS-Ponderado,20,0,0.0015277777777777779,3.1831308701162216E-4,0.0018460908647894001
Dominance,LCS-Ponderado,25,2,0.00125,1.1722310934909361E-4,0.0013672231093490937
Dominance,LCS-Ponderado,25,5,0.0021680790960451977,1.7967291240406349E-4,0.002347752008449261
Dominance,LCS-Ponderado,25,7,0.0022043109801031685,3.4320832215552265E-4,0.002547519302258691
Dominance,LCS-Ponderado,25,10,0.002338259157529607,6.93470483441306E-4,0.003031729640970913
Dominance,LCS-Ponderado,25,0,0.00125,4.361500497016452E-4,0.0016861500497016451
Dominance,LCS-Ponderado,30,2,0.001607142857142857,1.1722310934909361E-4,0.0017243659664919505
Dominance,LCS-Ponderado,30,5,0.004250887670444712,0.005378803174078765,0.009629690844523477
Dominance,LCS-Ponderado,30,7,0.004250887670444712,0.00568784620109409,0.009938733871538801
Dominance,LCS-Ponderado,30,10,0.004469592576649618,0.01094942626582376,0.015419018842473379
Dominance,LCS-Ponderado,30,0,0.004444340051397093,4.8730877263823805E-4,0.004931648824035331
Dominance,LCS-Ponderado,40,2,0.001607142857142857,1.0498687664041995E-4,0.001712129733783277
Dominance,LCS-Ponderado,40,5,0.004191888619854721,1.0498687664041995E-4,0.0042968754964951405
Dominance,LCS-Ponderado,40,7,0.004216641095102246,1.541284612150754E-4,0.004370769556317321
Dominance,LCS-Ponderado,40,10,0.004320807761768913,0.0011610737609358218,0.005481881522704735
Dominance,LCS-Ponderado,40,0,0.0017586580086580083,3.1765792121834574E-4,0.002076315929876354
Dominance,LCS-Ponderado,50,2,0.0016450216450216448,0.00562429696287964,0.007269318607901284
Dominance,LCS-Ponderado,50,5,0.001687394526377577,0.005636533195588314,0.007323927721965891
Dominance,LCS-Ponderado,50,7,0.005020727859710911,0.005636533195588314,0.010657261055299225
Dominance,LCS-Ponderado,50,10,0.005520727859710911,0.008299521489934732,0.013820249349645644
Dominance,LCS-Ponderado,50,0,0.002187394526377577,5.502160303101676E-4,0.0027376105566877446
Dominance,LCS-Ponderado,5,2,0.0022507062146892654,0.006011486326446956,0.00826219254113622
Dominance,LCS-Ponderado,5,5,0.0022507062146892654,0.012363063153338455,0.014613769368027722
Dominance,LCS-Ponderado,5,7,0.004750706214689265,0.018126311025453156,0.02287701724014242
Dominance,LCS-Ponderado,5,10,0.006521230172022361,0.018376279779358917,0.024897509951381278
Dominance,LCS-Ponderado,5,0,0.003917372881355932,0.017929526621070613,0.021846899502426544
Dominance,LCS-Ponderado,60,2,0.0014772727272727272,0.0,0.0014772727272727272
Dominance,LCS-Ponderado,60,5,0.0016156102050883052,0.0,0.0016156102050883052
Dominance,LCS-Ponderado,60,7,0.0016156102050883052,7.88222640053205E-4,0.0024038328451415104
Dominance,LCS-Ponderado,60,10,0.0016156102050883052,8.004588727618786E-4,0.0024160690778501836
Dominance,LCS-Ponderado,60,0,6.419457735247208E-5,1.1930326890956812E-4,1.834978462620402E-4
Dominance,LCS-Ponderado,8,2,4.2372881355932206E-5,0.005261580064729671,0.005303952946085604
Dominance,LCS-Ponderado,8,5,0.0017145340535171041,0.005312132675774265,0.0070266667292913695
Dominance,LCS-Ponderado,8,7,0.002070725922704023,0.005434843592458848,0.007505569515162871
Dominance,LCS-Ponderado,8,10,0.002950622718005847,0.006091011571461472,0.00904163428946732
Dominance,LCS-Ponderado,8,0,0.0021635850025680534,0.006072970970558666,0.00823655597312672
Dominance,LCS-Puro,10,2,3.3333333333333335E-5,1.2236232708673653E-5,4.556956604200699E-5
Dominance,LCS-Puro,10,5,9.090395480225988E-4,8.886898938051303E-5,9.979085374031119E-4
Dominance,LCS-Puro,10,7,0.0010384587399417907,1.861384380532831E-4,0.0012245971779950738
Dominance,LCS-Puro,10,10,0.0010384587399417907,3.266181060920062E-4,0.0013650768460337968
Dominance,LCS-Puro,10,0,1.4696969696969698E-4,6.891442216750434E-4,8.361139186447403E-4
Dominance,LCS-Puro,15,2,0.0012833333333333334,1.2236232708673653E-5,0.001295569566042007
Dominance,LCS-Puro,15,5,0.002159039548022599,9.57851209115025E-5,0.002254824668934101
Dominance,LCS-Puro,15,7,0.002201412429378531,1.9778059279711537E-4,0.0023991930221756463
Dominance,LCS-Puro,15,10,0.002201412429378531,0.0019475618701374478,0.004148974299515979
Dominance,LCS-Puro,15,0,0.0014817154596815612,2.840371566210398E-4,0.0017657526163026012
Dominance,LCS-Puro,20,2,0.0012833333333333334,1.2236232708673653E-5,0.001295569566042007
Dominance,LCS-Puro,20,5,0.0013257062146892653,5.74687425755828E-5,0.0013831749572648482
Dominance,LCS-Puro,20,7,0.0013257062146892653,4.2131617066340184E-4,0.0017470223853526673
Dominance,LCS-Puro,20,10,0.0013257062146892653,5.903470483556969E-4,0.0019160532630449621
Dominance,LCS-Puro,20,0,0.001292372881355932,4.750278926206078E-4,0.0017674007739765397
Dominance,LCS-Puro,25,2,0.0012833333333333334,1.2236232708673653E-5,0.001295569566042007
Dominance,LCS-Puro,25,5,0.0013257062146892653,5.74687425755828E-5,0.0013831749572648482
Dominance,LCS-Puro,25,7,0.0014043109801031685,1.9910618467388832E-4,0.0016034171647770568
Dominance,LCS-Puro,25,10,0.0014043109801031685,3.8660095878283564E-4,0.0017909119388860042
Dominance,LCS-Puro,25,0,0.0014104519774011297,2.9044247254005225E-4,0.001700894449941182
Dominance,LCS-Puro,30,2,0.0012833333333333334,0.0,0.0012833333333333334
Dominance,LCS-Puro,30,5,0.0037833333333333334,1.2803277639075603E-4,0.0039113661097240895
Dominance,LCS-Puro,30,7,0.003825706214689266,2.3823702189013348E-4,0.0040639432365794
Dominance,LCS-Puro,30,10,0.005118079096045197,0.010989163615147813,0.016107242711193008
Dominance,LCS-Puro,30,0,0.0014726190476190477,2.1525963527115825E-4,0.001687878682890206
Dominance,LCS-Puro,40,2,0.0012833333333333334,1.1216546649617517E-5,0.001294549879982951
Dominance,LCS-Puro,40,5,0.0038428571428571427,8.891555847576587E-4,0.004732012727614802
Dominance,LCS-Puro,40,7,0.004676190476190476,0.001029842238503601,0.005706032714694077
Dominance,LCS-Puro,40,10,0.004676190476190476,0.001029842238503601,0.005706032714694077
Dominance,LCS-Puro,40,0,0.004712422360248447,7.029580180415848E-4,0.005415380378290032
Dominance,LCS-Puro,50,2,0.0013807359307359307,3.861696775082602E-4,0.001766905608244191
Dominance,LCS-Puro,50,5,0.001414069264069264,3.861696775082602E-4,0.0018002389415775243
Dominance,LCS-Puro,50,7,0.003914069264069264,4.994766820159084E-4,0.0044135459460851725
Dominance,LCS-Puro,50,10,0.004141341991341991,8.037876858659941E-4,0.004945129677207985
Dominance,LCS-Puro,50,0,0.0013474025974025974,9.025753816420226E-4,0.00224997797904462
