recommender,similarity,neighbor_size,rec_size,Temporal-7-1-2,Temporal-7-2-3,Temporal-7-3-4,Temporal-7-4-5,Temporal-7-5-6,Temporal-7-6-7,accum
Dominance,LCS-Ponderado,10,10,0.0046712659432301545,0.016770717698514532,0.004780701754385964,0.0036428328235374743,0.004136754333964885,8.363534987454698E-4,0.034838626052378474
Dominance,LCS-Ponderado,10,0,0.0029503136697381295,0.007116117204053179,0.0013157894736842103,0.0017316588914925218,0.004502382939451509,8.363534987454698E-4,0.01845261567716502
Dominance,LCS-Ponderado,15,2,0.0,0.006354773902447057,0.0013648251062438705,8.053599972791893E-4,0.0,0.0,0.008524959005970117
Dominance,LCS-Ponderado,15,5,1.0900370612600829E-4,0.008469659971487853,0.0017595619483491338,0.0014057209738157143,4.5388336456161866E-4,0.0010338258526159279,0.013231655816956256
Dominance,LCS-Ponderado,15,7,4.130461864274814E-4,0.010609106007782027,0.0021981584395772036,0.0017086704903082857,0.0019724420907816353,0.0012429142273022952,0.01814433744217893
Dominance,LCS-Ponderado,15,10,0.0024715284328883772,0.010838332368813545,0.0021981584395772036,0.002112671467227111,0.002230962396471752,0.0012429142273022952,0.02109456733228028
Dominance,LCS-Ponderado,15,0,2.3980815347721823E-4,0.008469659971487853,0.0013648251062438705,0.0016829652880538495,0.0019406242374015719,0.0,0.013697882756664365
Dominance,LCS-Ponderado,20,2,0.0,0.008261499273425694,0.0013648251062438705,2.543958099513655E-4,0.0,0.0,0.009880720189620931
Dominance,LCS-Ponderado,20,5,0.0037703603351085364,0.010751607064393086,0.005970088264138607,0.0014057209738157143,3.642748691543181E-4,0.0,0.022262051506610262
Dominance,LCS-Ponderado,20,7,0.0038731352580273445,0.011452020945322725,0.005970088264138607,0.0014342683410347725,0.0019413213363438273,8.363534987454698E-4,0.025507187643612747
Dominance,LCS-Ponderado,20,10,0.0038731352580273445,0.01201834489610648,0.007285877737822818,0.0019915479698811326,0.0027176902299770813,8.363534987454698E-4,0.028722949590560327
Dominance,LCS-Ponderado,20,0,0.0037684138403562867,0.010831199550862362,0.0013648251062438705,0.0015506913240646571,0.0012922879746976848,0.0,0.01880741779622486
Dominance,LCS-Ponderado,25,2,0.0,0.005829463491749827,0.001710526315789474,2.829431771704237E-4,0.0,0.0,0.007822932984709725
Dominance,LCS-Ponderado,25,5,0.003930946152169173,0.014491616112802076,0.0038251879699248118,0.0012138826661036433,3.2561811407965253E-4,8.814707969869726E-4,0.02466872181206633
Dominance,LCS-Ponderado,25,7,0.004380885900670073,0.01848877776379307,0.007772556390977443,0.01241089679566909,9.235118571346859E-4,0.0017178242957324422,0.04569445300397681
Dominance,LCS-Ponderado,25,10,0.005243389175361244,0.01901059387020628,0.008298872180451127,0.01241089679566909,9.235118571346859E-4,0.0017178242957324422,0.047605088174554874
Dominance,LCS-Ponderado,25,0,5.930969510106201E-4,0.016676782361991334,0.003947368421052632,2.4028788524826965E-4,8.498445998445999E-4,0.0010338258526159279,0.02334120607176338
Dominance,LCS-Ponderado,30,2,0.0,0.007115367468268101,3.9473684210526315E-4,0.0016209990606808526,0.0,0.0,0.009131103371054217
Dominance,LCS-Ponderado,30,5,0.00749828708461802,0.017246353960286114,0.0023684210526315787,0.004755795298925367,2.0234395234395235E-4,2.6329647182727755E-4,0.03233449782063231
Dominance,LCS-Ponderado,30,7,0.0076412259068021245,0.02052718323305361,0.005579573934837092,0.015814154519760412,8.991109534587794E-4,2.6329647182727755E-4,0.05072454501973929
Dominance,LCS-Ponderado,30,10,0.012058328059833182,0.020909227168106143,0.007421679197994986,0.015991884902769385,0.0019826301821392984,2.6329647182727755E-4,0.05862704598267027
Dominance,LCS-Ponderado,30,0,0.004008221993833504,0.014756246169318725,0.003464912280701754,0.013160001458673303,0.0028778184394659015,0.0,0.038267200341993185
Dominance,LCS-Ponderado,40,2,0.003896882494004796,0.005167708818533835,0.0,0.0013666032507294872,2.0421174267328118E-4,0.0,0.010635406305941399
Dominance,LCS-Ponderado,40,5,0.014964951116030254,0.02198446417397114,1.9001307616868255E-4,0.008213569545438061,3.2561811407965253E-4,0.0,0.04567861602568779
Dominance,LCS-Ponderado,40,7,0.015073954822156259,0.02312149969496082,0.00820436714315433,0.019261400659213595,3.2561811407965253E-4,0.0,0.06598684043356465
Dominance,LCS-Ponderado,40,10,0.015216893644340366,0.023218629508957225,0.01745875310806661,0.020850551645562362,0.0036116839001454387,0.0,0.080356511807072
Dominance,LCS-Ponderado,40,0,0.005972145360634569,0.007771520161600194,9.649122807017542E-4,0.006280129550532345,0.0018185281006786425,0.0,0.022807235454147503
Dominance,LCS-Ponderado,50,2,0.0035971223021582736,0.003922772547414381,0.0,8.156390634016634E-4,1.232741617357002E-4,0.0,0.00845880807471002
Dominance,LCS-Ponderado,50,5,0.01339423200742656,0.0064128803383817715,1.4097744360902254E-4,0.003989510775924746,3.2728693018145837E-4,0.0,0.02426488749552356
Dominance,LCS-Ponderado,50,7,0.013503235713552568,0.009141765588756994,0.008035714285714285,0.004018058143143805,3.2728693018145837E-4,0.0,0.03502606066134911
Dominance,LCS-Ponderado,50,10,0.015351756896606124,0.009141765588756994,0.008479486760379209,0.00419578852615278,0.004849352988353305,0.0017772511848341234,0.04379540194508253
Dominance,LCS-Ponderado,50,0,7.763020352948411E-4,0.004091321342290498,0.0,0.0036380828415384092,0.003254779754340054,0.0017772511848341234,0.013537737158297928
Dominance,LCS-Ponderado,5,2,0.0018957806727590899,0.006601757156485619,0.0,8.47637211273575E-4,6.396631860762449E-4,1.0340370529943989E-4,0.01008824193189397
Dominance,LCS-Ponderado,5,5,0.0038355096777324513,0.011625386821949097,0.007894736842105263,0.0013360097623194526,0.0014018229512392862,4.5885394226626453E-4,0.026552319997611814
Dominance,LCS-Ponderado,5,7,0.00513732536803735,0.01435025900577965,0.007943772474664924,0.003741588693806553,0.0015484393888393303,4.5885394226626453E-4,0.03318023887339407
Dominance,LCS-Ponderado,5,10,0.005434243375093573,0.014986998897533866,0.007943772474664924,0.004356248162906379,0.0021052914477792334,0.0011804319727253994,0.03600698633070337
Dominance,LCS-Ponderado,5,0,0.0016258488349780833,0.010548731807936113,3.9473684210526315E-4,0.0022669492512526718,0.002056185849881418,5.622576475657045E-4,0.017454710233719254
Dominance,LCS-Ponderado,60,2,1.0900370612600829E-4,0.003683995088006549,0.0,8.156390634016634E-4,0.002794214332675871,0.0,0.007402852190210091
Dominance,LCS-Ponderado,60,5,0.009073260871822022,0.009414654113794515,1.4097744360902254E-4,0.004170820976577307,0.002915620704082242,0.002369668246445498,0.028085002356330605
Dominance,LCS-Ponderado,60,7,0.009349962587372659,0.01696181747815232,0.008035714285714285,0.004238443818074934,0.00307916468205921,0.0027122708844858102,0.04437737373585922
Dominance,LCS-Ponderado,60,10,0.01030063062437163,0.017780483053264885,0.008479486760379209,0.0046410575428503685,0.0035961208441766626,0.0027122708844858102,0.04751004970952856
Dominance,LCS-Ponderado,60,0,0.0013150769706815194,0.01514531313958248,1.4097744360902254E-4,0.005172574044446077,0.0030756838305632797,0.0029097432383562685,0.027759368667238646
Dominance,LCS-Ponderado,8,2,0.003803345529964235,0.006631975320840058,1.4619883040935673E-4,0.0,3.778810019738903E-4,0.0025850926324859974,0.013544493315673537
Dominance,LCS-Ponderado,8,5,0.004488511682756287,0.008366436285061596,0.0031725146198830407,5.635906035930911E-4,0.0013208353006568321,0.0025850926324859974,0.020496981124436847
