recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
Dominance,JaroSimilarity,5,0,7.612584175084175E-4,8.849263045321023E-4,8.823740450558163E-4,0.0025285587670963363
Dominance,JaroSimilarity,60,2,0.0,0.0,1.2352024735925662E-4,1.2352024735925662E-4
Dominance,JaroSimilarity,60,5,2.840909090909091E-5,4.3788282800746276E-5,5.127791834675894E-4,5.849765571774267E-4
Dominance,JaroSimilarity,60,7,2.840909090909091E-5,6.169358235671074E-4,6.399655640232422E-4,0.0012853104784994406
Dominance,JaroSimilarity,60,10,4.2499346917450364E-4,6.984354160691449E-4,6.715571480252642E-4,0.0017949860332689125
Dominance,JaroSimilarity,60,0,0.0,6.893000360868842E-4,9.626299314003559E-4,0.0016519299674872402
Dominance,JaroSimilarity,8,2,2.9829545454545457E-4,0.0,3.92464678178964E-5,3.3754192236335097E-4
Dominance,JaroSimilarity,8,5,0.0017424242424242426,0.0,4.4740973312401886E-4,0.0021898339755482615
Dominance,JaroSimilarity,8,7,0.010034722222222223,2.0374898125509371E-4,4.4740973312401886E-4,0.010685880936601335
Dominance,JaroSimilarity,8,10,0.010629866372053872,0.0012399106932552177,5.393383964812536E-4,0.012409115461790344
Dominance,JaroSimilarity,8,0,0.004360795454545454,0.0012352669016956468,5.78331374584302E-5,0.005653895493699531
Dominance,LCS-Ponderado,10,2,0.0,1.3971358714634998E-4,7.838230429592556E-5,2.1809589144227554E-4
Dominance,LCS-Ponderado,10,5,0.004321581196581196,1.5022966359822578E-4,0.005272351783979692,0.009744162644159114
Dominance,LCS-Ponderado,10,7,0.004321581196581196,1.5022966359822578E-4,0.007313168110510302,0.011784978970689725
Dominance,LCS-Ponderado,10,10,0.007718813501481378,2.6395002522897575E-4,0.00905899626720841,0.01704175979391876
Dominance,LCS-Ponderado,10,0,2.3678524909261211E-4,0.0,0.006884759949563418,0.00712154519865603
Dominance,LCS-Ponderado,15,2,1.0775862068965517E-4,1.3971358714634998E-4,4.74608448030375E-5,2.9493305263904264E-4
Dominance,LCS-Ponderado,15,5,0.0034931752873563217,0.0013153398424654683,1.0997388829794743E-4,0.004918489018119737
Dominance,LCS-Ponderado,15,7,0.0034931752873563217,0.0063479929703942495,1.0997388829794743E-4,0.009951142146048518
Dominance,LCS-Ponderado,15,10,0.0037163895730706075,0.006461713332024999,0.007564988617352577,0.017743091522448184
