recommender,similarity,neighbor_size,rec_size,Temporal-8-1-2,Temporal-8-2-3,Temporal-8-3-4,Temporal-8-4-5,Temporal-8-5-6,Temporal-8-6-7,Temporal-8-7-8,accum
Dominance,LCS-Ponderado,20,2,4.8756704046806434E-4,1.223091976516634E-4,4.407125626275747E-4,8.560178051703476E-5,5.67483158012406E-5,3.357394661742488E-5,0.0,0.0012265128436830027
Dominance,LCS-Ponderado,20,5,6.976456421848913E-4,0.004612415742552729,0.006749860827611802,1.9022617892674388E-4,1.0739404889822718E-4,0.0020396172570085616,7.470491558344539E-5,0.014471864612766403
Dominance,LCS-Ponderado,20,7,0.0019752970136929183,0.0064736426633389115,0.006749860827611802,4.3486263991415205E-4,5.716466022872707E-4,0.0028619609364950982,7.470491558344539E-5,0.019141975598923593
Dominance,LCS-Ponderado,20,10,0.0045986289920012255,0.007329807046900556,0.006749860827611802,0.0011624777743089473,6.63659350366645E-4,0.003068265960075869,1.3013114327438874E-4,0.023702831094539436
Dominance,LCS-Ponderado,20,0,6.64544499868732E-4,0.005259295499021526,3.943217665615142E-4,1.4837641956286026E-4,1.2638619880959715E-4,0.0011051825260387097,5.154639175257732E-5,0.007749653301615517
Dominance,LCS-Ponderado,25,2,0.0,1.223091976516634E-4,3.943217665615142E-4,8.560178051703476E-5,2.509473261562398E-5,0.0,0.0,6.273274773458363E-4
Dominance,LCS-Ponderado,25,5,0.0023819681456200225,0.009368884540117417,0.003548895899053628,1.9022617892674388E-4,2.509473261562398E-5,1.787364234459271E-4,7.470491558344539E-5,0.015768510835362806
Dominance,LCS-Ponderado,25,7,0.0033120022753128555,0.009425962165688194,0.0038117770767613036,2.0306644600429912E-4,0.0028684908907750132,0.001031968133820495,7.470491558344539E-5,0.020727971903945604
Dominance,LCS-Ponderado,25,10,0.004791206585023087,0.010431024702912732,0.0038117770767613036,6.085485642428848E-4,0.00290014447396063,0.0010712028039955087,1.2426875380707744E-4,0.023738172960703227
Dominance,LCS-Ponderado,25,0,1.0665529010238908E-4,0.001834637964774951,6.572029442691903E-4,1.0462439840970913E-4,5.67483158012406E-5,9.615679790213629E-4,7.470491558344539E-5,0.003796141807962289
Dominance,LCS-Ponderado,30,2,0.0,1.223091976516634E-4,0.0,8.560178051703476E-5,2.509473261562398E-5,0.0,0.0,2.3300571078432216E-4
Dominance,LCS-Ponderado,30,5,0.001729488723817172,0.005944227005870842,0.0031545741324921135,2.0306644600429912E-4,3.232983734376492E-5,8.057747188181971E-4,7.470491558344539E-5,0.011944165779929834
Dominance,LCS-Ponderado,30,7,0.0026253931606772403,0.007142857142857142,0.0031545741324921135,2.0306644600429912E-4,0.0014582483941815417,0.006680997364227177,7.470491558344539E-5,0.02133984155602296
Dominance,LCS-Ponderado,30,10,0.007042895448514219,0.00814791968008168,0.0034174553101997893,4.5987178755540337E-4,0.0014939601290576221,0.006680997364227177,7.470491558344539E-5,0.027317804635219337
Dominance,LCS-Ponderado,30,0,0.001271891267625056,0.0011986301369863012,0.0,1.3030493256481956E-4,7.574046571261056E-5,0.004725242556908582,0.0,0.0074018093597973695
Dominance,LCS-Ponderado,40,2,4.8756704046806434E-4,1.223091976516634E-4,1.0176045588684237E-4,8.560178051703476E-5,2.321262766945218E-4,3.357394661742488E-5,0.0,0.0010629386978355515
Dominance,LCS-Ponderado,40,5,0.0014848875601974217,0.0012149380300065231,0.0019217070707861384,1.9022617892674388E-4,2.321262766945218E-4,8.057747188181971E-4,0.0,0.005849659835429546
Dominance,LCS-Ponderado,40,7,0.0016981981404022,0.0031175255490323984,0.005076281203278252,1.9022617892674388E-4,2.321262766945218E-4,0.0033578986240608145,7.470491558344539E-5,0.013746960887978377
Dominance,LCS-Ponderado,40,10,0.003039007501689377,0.0031175255490323984,0.005261844387542494,1.9022617892674388E-4,2.321262766945218E-4,0.003374982711941363,7.470491558344539E-5,0.015290417521410344
Dominance,LCS-Ponderado,40,0,7.163484979184637E-4,0.0014631327176388457,1.0176045588684237E-4,0.0,3.714020427112349E-4,7.722007722007722E-4,7.470491558344539E-5,0.0034995494019396047
Dominance,LCS-Ponderado,50,2,4.8756704046806434E-4,1.223091976516634E-4,1.0176045588684237E-4,8.560178051703476E-5,7.461201750895344E-4,0.0,0.0,0.0015433586496131392
