recommender,similarity,neighbor_size,rec_size,Temporal-10-1-2,Temporal-10-2-3,Temporal-10-3-4,Temporal-10-4-5,Temporal-10-5-6,Temporal-10-6-7,Temporal-10-7-8,Temporal-10-8-9,Temporal-10-9-10,accum
Dominance,JaroSimilarity,10,2,9.71872415027717E-4,0.003762865967769115,0.003864734299516908,4.3956043956043956E-4,0.002657754010695187,0.0,1.8876472364844458E-5,0.0,0.0,0.01171566360493421
Dominance,JaroSimilarity,10,5,0.004088466753912696,0.005954566727558712,0.007286634460547504,0.002183150183150183,0.002672171542413757,0.002208508846024892,2.9227445654358237E-4,0.0,1.4854426619132502E-4,0.024834317236342655
Dominance,JaroSimilarity,10,7,0.004157463650917112,0.006033035026365994,0.0074476650563607095,0.0023296703296703295,0.002672171542413757,0.0025804419946490287,0.0035791848345470296,0.0,1.4854426619132502E-4,0.02894817670111529
Dominance,JaroSimilarity,10,10,0.004350468484429464,0.007697683936777617,0.008252818035426731,0.0024039394948485856,0.0032440669672503587,0.004525221601788539,0.0036678121743087995,5.025640225724652E-4,2.9708853238265005E-4,0.03494166324978522
Dominance,JaroSimilarity,10,0,0.0010390045310320136,0.006016027119235352,0.004045893719806763,4.3956043956043956E-4,0.0027185886009415423,0.003748307029836568,2.424927450192483E-4,2.7690320979445357E-4,2.7985204455792693E-4,0.018806629439784308
Dominance,JaroSimilarity,15,2,9.71872415027717E-4,0.0,0.0014492753623188406,4.3956043956043956E-4,1.8615040953090095E-5,6.775067750677507E-5,9.438236182422229E-6,0.0,0.0,0.0029565121715492844
Dominance,JaroSimilarity,15,5,0.004088466753912696,3.11056950866586E-4,0.0016304347826086956,0.002183150183150183,1.8615040953090095E-5,6.775067750677507E-5,0.0033329779593700326,0.0,1.4854426619132502E-4,0.011780996614559381
Dominance,JaroSimilarity,15,7,0.004157463650917112,0.0011585145779852302,0.0016304347826086956,0.002183150183150183,5.979376790992576E-4,0.0018768965919701214,0.003843316872948149,0.0,1.4854426619132502E-4,0.015596258604870074
Dominance,JaroSimilarity,15,10,0.004350468484429464,0.002217836611883535,0.0018944099378881989,0.0023785103785103783,0.00316656513007965,0.00255357963656506,0.0054478171363901515,2.842234112187534E-4,2.9708853238265005E-4,0.02259049925934784
Dominance,JaroSimilarity,15,0,0.0012835660580021483,0.001059322033898305,0.0014492753623188406,6.446886446886446E-4,3.025631190188152E-4,0.002159332875796291,0.0039275881755053785,1.326673804545446E-4,4.097772860450345E-4,0.011368780935728002
Dominance,JaroSimilarity,20,2,9.71872415027717E-4,0.0,0.0014492753623188406,1.0610079575596816E-4,0.0,0.0,9.438236182422229E-6,0.0,0.0,0.002536686809284948
Dominance,JaroSimilarity,20,5,0.004088466753912696,3.11056950866586E-4,0.002471014492753623,3.6136543604734644E-4,0.0,0.003048780487804878,2.837036994013738E-4,0.0,1.4854426619132502E-4,0.010712932086977827
Dominance,JaroSimilarity,20,7,0.0041744704536382,0.0011585145779852302,0.002471014492753623,3.6136543604734644E-4,0.0,0.0032251742160278743,7.159636031176755E-4,0.0,1.4854426619132502E-4,0.012255047045761275
Dominance,JaroSimilarity,20,10,0.00447838921794026,0.002217836611883535,0.0026537802527307774,0.0024126474873293977,6.127450980392157E-4,0.0032251742160278743,8.499845117864715E-4,1.1196954428395476E-4,2.6123301985370953E-4,0.016823759959875194
Dominance,JaroSimilarity,20,0,0.003730256470404254,0.0012449898460585613,0.001665167416291854,2.0642459145132943E-4,0.0,0.003197952961672474,0.0010127577077475474,1.1491611123879568E-4,2.1592517044306006E-4,0.011388390275307874
Dominance,JaroSimilarity,25,2,9.71872415027717E-4,0.0,0.0014492753623188406,1.0610079575596816E-4,0.0,0.0,4.618226600985222E-4,0.0,0.0,0.0029890712332010477
Dominance,JaroSimilarity,25,5,0.0038234440781757346,3.11056950866586E-4,0.002471014492753623,3.6136543604734644E-4,0.0,0.003048780487804878,9.497447678222117E-4,0.0,0.0,0.010965406213470379
Dominance,JaroSimilarity,25,7,0.0038924409751801507,0.0011585145779852302,0.002471014492753623,3.6136543604734644E-4,0.0,0.0032251742160278743,0.0018104433874849748,2.8664203336692417E-4,0.0,0.013205595118846123
Dominance,JaroSimilarity,25,10,0.003944878616903506,0.002217836611883535,0.0026537802527307774,0.0024126474873293977,6.127450980392157E-4,0.0032251742160278743,0.0018859492769443527,4.685354668677388E-4,1.126887536623845E-4,0.017534235780388784
Dominance,JaroSimilarity,25,0,0.0011229711182718701,0.0,0.0015320910973084887,0.0,1.1764705882352942E-4,2.305149550755357E-4,0.0011703403329019091,4.054897067997505E-4,1.126887536623845E-4,0.004691743022843469
Dominance,JaroSimilarity,30,2,9.71872415027717E-4,0.0,0.0014492753623188406,1.0610079575596816E-4,0.0,0.0,1.487205171004272E-4,0.0,0.0,0.002675969090202953
Dominance,JaroSimilarity,30,5,0.0010781649320345198,2.3800025887359943E-4,0.001746376811594203,3.6136543604734644E-4,0.0,0.003048780487804878,0.0011872149969971294,5.049495686330796E-4,0.0,0.008164852491984755
Dominance,JaroSimilarity,30,7,0.0011471618290389356,0.0010854578859922435,0.001822654462242563,3.6136543604734644E-4,0.0,0.0033013937282229964,0.0012109368245335989,0.005022341527675392,0.0,0.013951311693753077
Dominance,JaroSimilarity,30,10,0.004034164331189221,0.002496085696438456,0.002005420222219717,0.0024126474873293977,6.127450980392157E-4,0.0034233449477351916,0.0012298132968984433,0.005267283269685082,1.126887536623845E-4,0.021594193103197108
Dominance,JaroSimilarity,30,0,0.001020408163265306,0.0011907564344005024,0.0014492753623188406,1.315299120941754E-4,1.2254901960784314E-4,2.5634144692530025E-4,3.547568835729806E-4,6.290534346708513E-4,0.0,0.0051546706568558
Dominance,JaroSimilarity,40,2,9.71872415027717E-4,0.0,0.001565217391304348,2.870962708690903E-4,1.0813148788927335E-5,0.003551829268292683,1.411631846414455E-4,0.0,0.0,0.006527991678924211
Dominance,JaroSimilarity,40,5,0.0010781649320345198,2.3800025887359943E-4,0.001822654462242563,5.312965150693346E-4,6.740196078431372E-4,0.003551829268292683,1.9111323459149545E-4,3.76910510745354E-5,0.0016339869281045752,0.00975875625812644
Dominance,JaroSimilarity,40,7,0.0011471618290389356,2.3800025887359943E-4,0.0065029982730211554,5.567256314075418E-4,6.740196078431372E-4,0.0036280487804878046,2.005514707739177E-4,5.763083293332186E-5,0.0016339869281045752,0.01463912361248399
Dominance,JaroSimilarity,40,10,0.0018203477700820196,0.0016486280693198115,0.008873479698974845,5.567256314075418E-4,7.295135035146134E-4,0.003712737127371273,3.4894031597127356E-4,2.8746305541091317E-4,0.0016339869281045752,0.019611822100156866
Dominance,JaroSimilarity,40,0,0.0017804701456179287,1.7295053614666204E-4,0.006260506110581074,2.870962708690903E-4,5.010092272202998E-4,2.8241335044929395E-4,1.7570311279839495E-4,5.004782859999004E-4,0.0017647058823529412,0.011725332922035583
Dominance,JaroSimilarity,50,2,9.71872415027717E-4,0.0,0.0014492753623188406,1.8099547511312217E-4,1.0813148788927335E-5,0.0,0.001261238761238761,1.7751269215748927E-5,0.0,0.0038919464317031176
Dominance,JaroSimilarity,50,5,0.0011762811015792608,2.3800025887359943E-4,0.0016304347826086956,3.7635567047331753E-4,6.740196078431372E-4,0.0,0.0016288781784198631,1.7751269215748927E-5,0.0,0.005741720869013623
Dominance,JaroSimilarity,50,7,0.0012452779985836764,2.3800025887359943E-4,0.006890488738314825,4.5062483565157355E-4,6.740196078431372E-4,2.032520325203252E-4,0.0037160766941898076,1.7751269215748927E-5,9.337068160597572E-5,0.013528862116798669
Dominance,JaroSimilarity,50,10,0.001916599158626641,7.52278656021246E-4,0.006890488738314825,4.5062483565157355E-4,7.295135035146134E-4,2.1783949896915237E-4,0.004243316094725118,1.7751269215748927E-5,9.337068160597572E-5,0.015311782436644892
Dominance,JaroSimilarity,50,0,9.71872415027717E-4,3.0163028093200704E-4,0.0014492753623188406,1.8099547511312217E-4,7.142609463740821E-4,3.525130731485032E-4,0.0016531967764926866,2.2521338398040405E-4,0.0,0.005848957713387362
Dominance,JaroSimilarity,5,2,0.0047996259058438505,0.003762865967769115,0.003864734299516908,2.542911633820725E-5,0.0024509803921568627,8.468834688346883E-5,8.676668159426779E-4,0.0,0.0,0.01585599084445109
Dominance,JaroSimilarity,5,5,0.010428634222589453,0.006802024354677356,0.005837359098228663,5.138296047386956E-4,0.0032679738562091504,4.758364985820056E-4,0.0026219424698662192,0.0,0.0,0.029947600104891545
Dominance,JaroSimilarity,5,7,0.012492387355421533,0.009591572377276227,0.006803542673107891,5.138296047386956E-4,0.0032823913879277203,4.758364985820056E-4,0.0026219424698662192,0.0,0.0,0.03578150236692029
Dominance,JaroSimilarity,5,10,0.015117571362057672,0.019418238611014348,0.008449386417902159,5.138296047386956E-4,0.0032823913879277203,0.0035246169863868836,0.002946617794541544,0.0044434229679001,0.0,0.057696075132469125
Dominance,JaroSimilarity,5,0,0.004146063931936134,0.0040453518434753295,0.004045893719806763,7.426916517825609E-5,0.003326330532212885,2.8324337865227395E-4,0.0028477327689753413,3.672877742337524E-4,0.0,0.019136173114470734
Dominance,JaroSimilarity,60,2,9.71872415027717E-4,0.0,0.004347826086956522,0.0,1.0813148788927335E-5,1.0599791468693907E-4,8.116883116883117E-4,0.0,9.337068160597572E-5,0.006341568558754392
