recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,JaroSimilarity,30,2,1.4697236919459142E-4,3.8402457757296467E-4,1.51666818333485E-4,6.935661617574782E-4,0.0,0.0013762299268585193
Dominance,JaroSimilarity,30,5,1.4697236919459142E-4,0.001824116743471582,1.51666818333485E-4,7.786088991077084E-4,0.0,0.002901364830107367
Dominance,JaroSimilarity,30,7,2.838087129274869E-4,0.001824116743471582,1.51666818333485E-4,7.786088991077084E-4,0.0,0.0030382011738402624
Dominance,JaroSimilarity,30,10,0.0013954149031301564,0.001824116743471582,1.51666818333485E-4,0.001261904164153612,0.0,0.004633102629088836
Dominance,JaroSimilarity,30,0,3.1704039640547576E-4,5.255073166787937E-4,1.9727893291111685E-4,0.001263990752016881,1.4477856119065889E-5,0.0023182952541313333
Dominance,JaroSimilarity,40,2,0.0,4.1893590280687055E-4,1.51666818333485E-4,4.3737093256044415E-4,0.0,0.0010079736537007998
Dominance,JaroSimilarity,40,5,2.247812705329045E-4,0.0018939393939393938,5.337949782394226E-4,4.6236899772567904E-4,8.902341315766046E-5,0.0032039080535950604
Dominance,JaroSimilarity,40,7,3.6161761426579996E-4,0.0018939393939393938,5.337949782394226E-4,5.102479597097832E-4,9.453044290183202E-4,0.004244904375172719
Dominance,JaroSimilarity,40,10,4.183069566694281E-4,0.0018939393939393938,5.337949782394226E-4,5.158976772239076E-4,0.0012671583073575541,0.004629097313429706
Dominance,JaroSimilarity,40,0,1.3449824374194122E-4,0.001859028068705488,1.9727893291111685E-4,5.724963662158015E-4,1.330967007387238E-4,0.0028963983123130714
Dominance,JaroSimilarity,50,2,0.0,4.1893590280687055E-4,8.241441263248117E-6,4.764595103578154E-4,0.0,9.036368544279341E-4
Dominance,JaroSimilarity,50,5,2.247812705329045E-4,0.003478040776427873,5.680332592250006E-4,4.889449825600278E-4,0.0,0.004759800288745806
Dominance,JaroSimilarity,50,7,3.6161761426579996E-4,0.007107073034492389,5.680332592250006E-4,0.00200938976511739,0.0,0.01004611367310058
Dominance,JaroSimilarity,50,10,3.6161761426579996E-4,0.009924764939754959,6.136453738026325E-4,0.003986790895060892,1.9460932178651357E-5,0.014906279755062934
Dominance,JaroSimilarity,50,0,0.0,0.0033507697170825283,1.6792493428007446E-4,0.003712147290945635,1.9460932178651357E-5,0.00725030287448689
Dominance,JaroSimilarity,5,2,0.0021929824561403508,0.0,0.0013447971781305114,4.630915995183848E-5,0.0,0.0035840887942227007
Dominance,JaroSimilarity,5,5,0.0048907892799997426,7.387034035000374E-5,0.0020125815183954718,6.911693196869762E-4,0.0,0.007668410458432194
Dominance,JaroSimilarity,5,7,0.0048907892799997426,3.7201305784755994E-4,0.0020223435207774,0.0035432494131841853,0.0,0.010828395271808887
Dominance,JaroSimilarity,5,10,0.009520780910538719,3.7201305784755994E-4,0.0020223435207774,0.0035432494131841853,0.0,0.015458386902347862
Dominance,JaroSimilarity,5,0,0.004314708339476141,8.867476609412093E-5,0.002030438694111252,5.062243005790224E-4,0.0,0.006940046100260536
Dominance,JaroSimilarity,60,2,0.0,0.0013440860215053765,8.241441263248117E-6,4.90459516626439E-4,0.0,0.0018427869793950637
Dominance,JaroSimilarity,60,5,1.4697236919459142E-4,0.005008029604803798,5.680332592250006E-4,5.483936097349118E-4,1.9460932178651357E-5,0.006290889775136953
Dominance,JaroSimilarity,60,7,4.078166494354234E-4,0.008497764520819056,5.680332592250006E-4,8.699958953927286E-4,1.9460932178651357E-5,0.01036307125705086
Dominance,JaroSimilarity,60,10,4.078166494354234E-4,0.011259541274531293,6.136453738026325E-4,9.287584079755711E-4,9.694427326031879E-5,0.01330670597900524
Dominance,JaroSimilarity,60,0,1.240079365079365E-4,0.005376344086021506,8.840818809666162E-5,2.0081356423287864E-4,9.694427326031879E-5,0.0058865180481193005
