recommender,similarity,neighbor_size,rec_size,Temporal-7-1-2,Temporal-7-2-3,Temporal-7-3-4,Temporal-7-4-5,Temporal-7-5-6,Temporal-7-6-7,accum
Dominance,JaroSimilarity,10,2,1.0900370612600829E-4,3.1181527052081577E-4,1.8779656651510198E-4,3.130478337089908E-5,2.6266535700497968E-5,0.0,6.661868622333232E-4
Dominance,JaroSimilarity,10,5,0.014421704161115509,0.0035339386882770763,7.043657672948291E-4,6.260956674179815E-5,6.167245666139281E-4,0.0,0.01933934275004314
Dominance,JaroSimilarity,10,7,0.014421704161115509,0.01023829515706924,7.043657672948291E-4,6.260956674179815E-5,0.003908517781422533,0.0,0.02933549243364391
Dominance,JaroSimilarity,10,10,0.016563044262276436,0.013433995256815745,0.0011429622585228992,1.90740773097106E-4,0.004039174162078914,0.0,0.0353699167127911
Dominance,JaroSimilarity,10,0,0.011000290676549668,0.0010471698013412797,2.9239766081871346E-4,1.7495339219070034E-4,3.445027505924757E-4,0.0,0.012859314281492838
Dominance,JaroSimilarity,15,2,1.0900370612600829E-4,3.1181527052081577E-4,4.678362573099415E-4,8.640120210368145E-5,2.6266535700497968E-5,0.0,0.001001322971760945
Dominance,JaroSimilarity,15,5,0.014421704161115509,0.0035339386882770763,0.003976608187134503,1.8257127277700516E-4,5.325125425735952E-4,0.0,0.022647334851877688
Dominance,JaroSimilarity,15,7,0.014421704161115509,0.01023829515706924,0.003976608187134503,5.26923889856895E-4,0.0038144133863787177,0.0,0.032977944781554865
Dominance,JaroSimilarity,15,10,0.01651308423030201,0.013433995256815745,0.004651734188347461,0.001015849482116126,0.004022267684712209,0.0,0.03963693084229355
Dominance,JaroSimilarity,15,0,0.003697042366107114,0.0018078722208748888,0.003115760415531582,2.777152615784866E-4,0.0035761422825183633,0.0,0.012474532546610434
Dominance,JaroSimilarity,20,2,1.0900370612600829E-4,0.0020250602628826123,0.0,6.486528730242465E-5,2.6266535700497968E-5,0.0,0.0022251957920115433
Dominance,JaroSimilarity,20,5,0.014421704161115509,0.002889124939521029,0.003976608187134503,1.19961706035207E-4,0.0034226470198328385,0.0,0.024830046013639084
Dominance,JaroSimilarity,20,7,0.014421704161115509,0.0029879294054828906,0.003976608187134503,1.5126648940610605E-4,0.004129612727869014,3.9494470774091627E-4,0.026062065678748938
