recommender,similarity,neighbor_size,rec_size,Temporal-9-1-2,Temporal-9-2-3,Temporal-9-3-4,Temporal-9-4-5,Temporal-9-5-6,Temporal-9-6-7,Temporal-9-7-8,Temporal-9-8-9,accum
Dominance,JaroSimilarity,10,2,0.003969722315098606,0.011778305326692424,0.0,2.4349865451560367E-4,9.614606104768843E-4,6.015776911414843E-4,0.0,0.0,0.017554564597925003
Dominance,JaroSimilarity,10,5,0.005605740160684131,0.012100608124614125,1.0630931683563261E-4,5.966059991483721E-4,9.918225244919439E-4,0.00101269807717872,4.331817197314273E-5,0.0,0.020457102374926064
Dominance,JaroSimilarity,10,7,0.007871153172610678,0.013653774193909228,0.0011073103178366336,5.966059991483721E-4,9.918225244919439E-4,0.0012740299915826076,4.331817197314273E-5,0.0,0.0255380143715526
Dominance,JaroSimilarity,10,10,0.00850008399022074,0.017238003584590232,0.0011073103178366336,5.966059991483721E-4,9.918225244919439E-4,0.001290327652053447,4.331817197314273E-5,0.0,0.029767472240314508
Dominance,JaroSimilarity,10,0,0.004753293773494758,0.009851782029201384,8.832361773538243E-5,6.690382749704784E-4,0.001046980001619302,0.0015829797349334383,2.748283071215229E-4,2.0403999183840033E-4,0.01847126573091467
Dominance,JaroSimilarity,15,2,0.0032860019815628503,0.013570420022032926,0.0,3.5310734463276836E-4,1.2668246882145519E-4,6.015776911414843E-4,0.0,0.0,0.017937789508191485
Dominance,JaroSimilarity,15,5,0.003399775320472102,0.013950030524001601,1.0725010725010724E-4,0.0012947269303201505,2.63311081889223E-4,8.616459555002969E-4,0.0,0.0,0.01987673991943348
Dominance,JaroSimilarity,15,7,0.008212505406130607,0.01451341541784411,1.5993437046068625E-4,0.0012947269303201505,2.936729959042825E-4,0.0014314209580962882,0.0,0.0,0.025905676078756126
Dominance,JaroSimilarity,15,10,0.008212505406130607,0.01451341541784411,0.0017141201351727666,0.0015382255848357543,0.0010559270437156157,0.0047748860036889934,4.331817197314273E-5,0.0,0.031852397763361
Dominance,JaroSimilarity,15,0,0.003502196950116309,0.00938881906623842,5.362505362505362E-5,3.5310734463276836E-4,0.001069419898989053,6.516783557136117E-4,1.1644452633949594E-4,0.0,0.015135291195654715
Dominance,JaroSimilarity,20,2,0.0032860019815628503,0.0,0.0019305019305019303,0.0,2.127078918641238E-4,6.015776911414843E-4,0.0,0.0,0.006030789495070388
Dominance,JaroSimilarity,20,5,0.003399775320472102,8.33541718763024E-5,0.0020377520377520375,0.0012947269303201505,2.63311081889223E-4,9.340014504536729E-4,0.0,0.0,0.00801292099276349
Dominance,JaroSimilarity,20,7,0.008212505406130607,8.33541718763024E-5,0.0020377520377520375,0.0012947269303201505,2.63311081889223E-4,0.0011230181316637198,0.0,0.0,0.01301466775963204
Dominance,JaroSimilarity,20,10,0.008212505406130607,1.8576072589575964E-4,0.002104485437818771,0.0012947269303201505,0.0010255651297005563,0.004474632007491846,0.0,2.0403999183840033E-4,0.01750171562919609
Dominance,JaroSimilarity,20,0,0.003187731541311278,0.0,0.0015477015477015476,0.0,2.63311081889223E-4,7.323102363804467E-4,5.432131825024757E-4,2.0403999183840033E-4,0.006478307581623371
Dominance,JaroSimilarity,25,2,0.0032860019815628503,0.0,4.2900042900042895E-4,2.4349865451560367E-4,1.1638733705772812E-4,6.015776911414843E-4,0.0,0.0,0.004676466093278095
Dominance,JaroSimilarity,25,5,0.003399775320472102,8.33541718763024E-5,0.0020377520377520375,0.0013028206884139089,1.4674925107278762E-4,7.348896945542715E-4,0.0,0.0,0.00770534116414141
Dominance,JaroSimilarity,25,7,0.008212505406130607,8.33541718763024E-5,0.0020377520377520375,0.0013028206884139089,1.6699052708282728E-4,8.517940667777926E-4,1.8911885741951102E-4,0.0,0.012844335755452987
Dominance,JaroSimilarity,25,10,0.008212505406130607,1.8576072589575964E-4,0.002104485437818771,0.0018677924398263382,1.6699052708282728E-4,9.00040315631944E-4,1.8911885741951102E-4,9.392317084624777E-5,0.013720616880652006
Dominance,JaroSimilarity,25,0,0.004454926624737945,0.0,4.2900042900042895E-4,1.7731797392814342E-4,1.1638733705772812E-4,0.001096209541360214,2.977342300541207E-4,7.889546351084813E-5,0.006650471599649429
Dominance,JaroSimilarity,30,2,0.0032860019815628503,0.0,4.2900042900042895E-4,2.4349865451560367E-4,1.1638733705772812E-4,5.427702996092053E-5,0.0,0.0,0.004129165432097531
Dominance,JaroSimilarity,30,5,0.003399775320472102,8.33541718763024E-5,0.0020377520377520375,0.001444063626267016,1.1638733705772812E-4,0.0011504285848280716,3.575933784764997E-4,9.392317084624777E-5,0.008683277627576006
Dominance,JaroSimilarity,30,7,0.008212505406130607,8.33541718763024E-5,0.0020377520377520375,0.001444063626267016,1.3662861306776777E-4,0.0016570141977966634,0.004472819715925059,9.392317084624777E-5,0.0181380609396617
Dominance,JaroSimilarity,30,10,0.008561911415913974,1.8576072589575964E-4,0.002104485437818771,0.0020090353776794456,2.2849286572871705E-4,0.00176090167810204,0.006023692043152658,9.392317084624777E-5,0.02096820271513761
Dominance,JaroSimilarity,30,0,0.0036768999550079932,6.63746183459445E-5,0.0020377520377520375,2.4349865451560367E-4,1.8621973929236498E-4,2.1646806052810525E-4,0.004928873811333125,9.392317084624777E-5,0.011450010047621422
Dominance,JaroSimilarity,40,2,0.0032860019815628503,0.0,4.826254826254826E-4,0.0,0.004103789360584315,3.033506146032153E-5,6.858710562414266E-4,0.0,0.008588622942474396
Dominance,JaroSimilarity,40,5,0.0032860019815628503,8.33541718763024E-5,0.003175253175253175,1.4124293785310735E-4,0.005048854537493067,3.033506146032153E-5,7.23625426309762E-4,3.522118906734291E-5,0.012523888480875931
Dominance,JaroSimilarity,40,7,0.008387208411022291,8.33541718763024E-5,0.007229307229307229,0.003035000688989941,0.0050628210179399944,1.0243134276690276E-4,7.23625426309762E-4,3.522118906734291E-5,0.024658969477279764
Dominance,JaroSimilarity,40,10,0.008387208411022291,5.94953933288517E-4,0.011172261172261172,0.0032784993435055446,0.008803441603989675,1.4992374398270825E-4,8.638422407556276E-4,1.8315018315018315E-4,0.03343328063195571
Dominance,JaroSimilarity,40,0,0.0034491106504340166,1.596143716780259E-4,0.005559130559130559,1.4124293785310735E-4,0.008157663430147783,1.9538283138499296E-4,1.2641358238951668E-4,0.0,0.017788558363018004
Dominance,JaroSimilarity,50,2,1.4134789351253553E-4,0.0,0.0026390026390026387,0.0,4.25186313907269E-4,6.579084857016386E-4,0.0010931069958847737,0.0,0.004956552328008856
Dominance,JaroSimilarity,50,5,2.018220105904262E-4,8.33541718763024E-5,0.006746681746681746,1.4124293785310735E-4,4.391527943541964E-4,0.001002924085839442,0.0010931069958847737,0.0,0.009708284743079994
Dominance,JaroSimilarity,50,7,0.0052425543229719755,8.33541718763024E-5,0.01068963568963569,0.003035000688989941,4.531192748011238E-4,0.001610826821401752,0.0010931069958847737,0.0,0.02220759796556156
Dominance,JaroSimilarity,50,10,0.005591960332755344,6.161414961890943E-4,0.01119013619013619,0.0032784993435055446,0.0012984588807993596,0.0022341153245276045,0.0012384363812773932,0.0,0.02544774794919053
Dominance,JaroSimilarity,50,0,9.827044025157233E-5,1.2359411692003462E-4,0.005692055692055692,4.280089025851738E-5,3.9336105518394276E-4,8.427995717134445E-4,0.0011826323789964257,0.0,0.008375514145379629
Dominance,JaroSimilarity,5,2,0.00462860221926153,0.002171725197309179,0.0,3.123976485902902E-4,9.532228818681474E-5,5.332480136511491E-5,0.0,0.0,0.0072613721547129285
Dominance,JaroSimilarity,5,5,0.007010901292737072,0.006429586352905407,1.0630931683563261E-4,6.655049932230585E-4,0.001056782898663699,8.294936854713198E-4,4.1513248140928453E-4,0.0,0.016513711021245474
Dominance,JaroSimilarity,5,7,0.008999758051209106,0.007073506351664116,2.1355942408573988E-4,6.655049932230585E-4,0.001056782898663699,0.0038923895700470478,4.377436151315293E-4,0.0,0.022339244904024298
Dominance,JaroSimilarity,5,10,0.01227646871375757,0.007674324291191731,2.1355942408573988E-4,0.0011363147860667497,0.001056782898663699,0.0038923895700470478,0.004646533264534205,0.0,0.030896372948346743
Dominance,JaroSimilarity,5,0,0.006492572892194466,0.0024277415823578223,0.0,4.889513209066743E-4,1.4111402735706842E-4,4.41585021281356E-4,3.429355281207133E-4,0.0,0.010334900372218101
Dominance,JaroSimilarity,60,2,1.4134789351253553E-4,0.0,0.0015015015015015015,0.0,2.127078918641238E-4,6.365773929001548E-4,0.0,7.684623069238455E-5,0.0025689809104707004
Dominance,JaroSimilarity,60,5,2.018220105904262E-4,8.33541718763024E-5,0.00635993135993136,0.0,5.672416262861264E-4,0.0010398988093907764,3.761803614150699E-5,1.536924613847691E-4,0.008443558475601267
Dominance,JaroSimilarity,60,7,0.0052425543229719755,8.33541718763024E-5,0.007110682110682111,0.003035000688989941,8.776078584400679E-4,0.0010480476396261963,7.537240620984241E-5,4.7720072881827016E-4,0.017949819927614703
Dominance,JaroSimilarity,60,10,0.0058540148400928705,6.161414961890943E-4,0.012404987404987406,0.0032784993435055446,0.0016722524355928326,0.0014621386884291743,0.004254899155181036,4.7720072881827016E-4,0.030020134092796222
Dominance,JaroSimilarity,60,0,3.6560607767638007E-4,1.2359411692003462E-4,0.0015541857647120806,0.0,5.854496752204322E-4,6.505201161928684E-4,0.004372427983539095,0.0,0.0076517837342608905
Dominance,JaroSimilarity,8,2,0.00462860221926153,0.002171725197309179,0.0,2.4349865451560367E-4,9.614606104768843E-4,6.015776911414843E-4,0.0,0.0,0.008606864372704682
Dominance,JaroSimilarity,8,5,0.006239398111658998,0.018352840628237062,1.0630931683563261E-4,5.966059991483721E-4,9.918225244919439E-4,0.0010266408004714334,4.331817197314273E-5,0.0,0.027356935552816583
Dominance,JaroSimilarity,8,7,0.00857542686278209,0.02058975146729844,0.0011073103178366336,5.966059991483721E-4,9.918225244919439E-4,0.0011570309416623176,0.0016743946141791225,3.1558185404339254E-4,0.035007924581442314
Dominance,JaroSimilarity,8,10,0.009354103113156452,0.024550784460589496,0.0011073103178366336,5.966059991483721E-4,9.918225244919439E-4,0.0011873660031226393,0.0016743946141791225,5.196218458817928E-4,0.03998200887840645
Dominance,JaroSimilarity,8,0,0.00580207645631777,0.009870836122226556,1.5993437046068625E-4,1.5866117561032814E-4,0.001003365070315851,9.549961652521966E-4,3.207556183417617E-4,1.461027102052743E-4,0.018416727688730428
Dominance,LCS-Ponderado,10,2,0.006817472796246382,0.0,0.0,4.7080979284369113E-4,1.1542545823906921E-5,0.0,0.0,5.379236148466918E-4,0.007837748749760672
Dominance,LCS-Ponderado,10,5,0.008491240294724775,0.0038231780167264037,0.0015015015015015015,6.473634651600753E-4,0.004020295761942871,4.52035491033025E-4,2.3650726077290572E-5,5.379236148466918E-4,0.019497188872012634
Dominance,LCS-Ponderado,10,7,0.008583730120843902,0.007407407407407407,0.0015015015015015015,6.473634651600753E-4,0.005507451226509071,6.864065885662626E-4,2.3650726077290572E-5,7.086930163853241E-4,0.025066204052450837
Dominance,LCS-Ponderado,10,10,0.009902116597567751,0.007407407407407407,0.002869536202869536,6.473634651600753E-4,0.006458221022191919,6.864065885662626E-4,4.037928842464245E-5,8.026161872315719E-4,0.028814046759419166
Dominance,LCS-Ponderado,10,0,0.0072513118827026305,0.0,6.744840078173411E-4,6.473634651600753E-4,3.462763747172076E-5,8.259963612275413E-4,1.5435454298975352E-4,0.0010352041121271891,0.01062334200949625
Dominance,LCS-Ponderado,15,2,0.0,1.2359411692003462E-4,0.0,4.7080979284369113E-4,1.078631006303026E-4,0.0,1.672856234735187E-5,0.0,7.189955727413803E-4
Dominance,LCS-Ponderado,15,5,2.9426334047849984E-4,0.007617891933798496,0.001001001001001001,7.038606403013182E-4,0.0026170102431208467,3.8114140809309255E-5,0.0013884706748302051,2.496648650494804E-4,0.013910276839389156
